,FPR,TPR,Thresholds
0,0.0,0.0,1.9937397228844058
1,0.0,0.001451378809869376,0.9937397228844057
2,0.0,0.4455732946298984,0.7922704003672201
3,0.05263157894736842,0.4455732946298984,0.7918942727017375
4,0.05263157894736842,0.5965166908563135,0.6632972318964803
5,0.10526315789473684,0.5965166908563135,0.6624059900216317
6,0.10526315789473684,0.6095791001451378,0.6456821259654895
7,0.15789473684210525,0.6095791001451378,0.6450105237489472
8,0.15789473684210525,0.6386066763425254,0.6144154695462958
9,0.21052631578947367,0.6386066763425254,0.611652752374019
10,0.21052631578947367,0.6516690856313497,0.5957323817532536
11,0.2631578947368421,0.6516690856313497,0.5927907716075937
12,0.2631578947368421,0.6574746008708273,0.5855163197346672
13,0.3157894736842105,0.6574746008708273,0.5833016736522033
14,0.3157894736842105,0.6661828737300436,0.5721088505819437
15,0.3684210526315789,0.6661828737300436,0.5703809930501582
16,0.3684210526315789,0.6923076923076923,0.5358083996663475
17,0.42105263157894735,0.6923076923076923,0.5345452310753134
18,0.42105263157894735,0.7764876632801161,0.43916218389595707
19,0.47368421052631576,0.7764876632801161,0.4372435849771683
20,0.47368421052631576,0.8011611030478955,0.40086343955531584
21,0.5263157894736842,0.8011611030478955,0.39738410021722526
22,0.5263157894736842,0.841799709724238,0.35340165795255435
23,0.5789473684210527,0.841799709724238,0.3532101824533587
24,0.5789473684210527,0.8679245283018868,0.32881908264130166
25,0.631578947368421,0.8679245283018868,0.32316844457364385
26,0.631578947368421,0.8853410740203193,0.29822542825798787
27,0.6842105263157895,0.8853410740203193,0.29741936572664746
28,0.6842105263157895,0.9375907111756169,0.2195104914000299
29,0.7368421052631579,0.9375907111756169,0.21884003296849863
30,0.7368421052631579,0.9462989840348331,0.21228606977828846
31,0.7894736842105263,0.9462989840348331,0.21216210056877347
32,0.7894736842105263,0.9550072568940493,0.20060404410710322
33,0.8421052631578947,0.9550072568940493,0.20014242066037846
34,0.8421052631578947,0.965166908563135,0.18290607561107983
35,0.8947368421052632,0.965166908563135,0.18216438653365882
36,0.8947368421052632,0.9753265602322206,0.16505067202198456
37,0.9473684210526315,0.9753265602322206,0.16446943070764003
38,0.9473684210526315,0.9840348330914369,0.1562839387325086
39,1.0,0.9840348330914369,0.15370118693997628
40,1.0,1.0,0.06546864189172627
