,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46,PL_Index,ASSOC_PROB_LR
1371,1.0,0.22374910397161896,0.012495410934050516,9.361639,2433.7546,0.019089897143475858,0.0780433859590436,-2.091141868603952e-13,0.03607189082051137,0.0739919085553178,0.057907608784224705,0.012950233,0.0342578320357552,2.1641205850495977,0.0
1372,1.0,0.54138833,0.0084184804177869,10.097314,3384.842883290199,0.017991349018097,0.07687532338302813,-2.2981013484910986e-12,0.017804428838058342,0.06944921433882632,0.0567510899528575,0.11980513214220839,0.0126462918976989,2.045304591067362,0.8644559
1373,2.0,0.02781253804951167,0.017967972338580336,12.002795923047927,973.4293,0.06463334076366967,0.090133582528935,3.4395715e-13,0.05075699277929455,0.0791597286314332,0.0129175056524652,0.21697177,0.023406402591691,2.550726,0.8013144
1374,1.0,0.33268072517742364,0.018708230349104,4.198391019675341,1018.37384,0.0186778167557947,0.074189174022301,-3.5621300665009013e-13,0.0764410760491925,0.067214513987258,0.053521670869193586,0.21265803863121063,0.07198508415284369,2.3277925412435803,0.0
1375,1.0,0.46814302,0.020717590063557445,18.177162,1449.4001,0.03308221315312088,0.0884678661205061,1.5935419e-13,0.0987097434515146,0.0790571587788306,0.06230107349341432,0.2996702299672191,0.0893163067063331,2.3408416388112583,0.6510765227373096
1376,1.0,0.44843784812355325,0.01686165289973695,41.69617177920753,872.7882,0.0207640130264503,0.0453442623569298,2.08863923345265e-12,0.0379289935419716,0.049488750530563466,0.04036646511491692,0.09672428061862365,0.0288353755426271,2.174775983415196,0.9132465
1377,2.0,0.6140905826123916,0.0161748697026127,13.270989,2599.8587813213417,0.030903354551298924,0.11903033932156827,2.8997547955320792e-12,0.0381913659412439,0.1081915244357788,0.08035003078310751,0.20855221,0.0280087863921294,2.299364708975805,0.7101392898255026
1378,1.0,0.37841395,0.0207516889051352,9.489102,1062.937,0.0306998309360984,0.036087253499988,-2.6421053325011287e-13,0.07545559332491827,0.0276443685418236,0.007604883448339567,0.14656612,0.0638941338354825,2.4602015,0.5342033155883965
1379,1.0,0.4237665295132119,0.011979783156691626,40.05396111234842,1857.938,0.0157591493329152,0.0737419722321032,2.2198557e-13,0.0241380809093576,0.06885642193532635,0.054564986140781625,0.06564229926227022,0.020883682195857033,2.02378,0.7568178476400722
1380,1.0,0.38834379192207547,0.0123406205326768,56.070625,1923.4457,0.02331968209269239,0.05930434824523455,6.309231e-13,0.0206220937255989,0.05029703702369015,0.0259694277776661,0.05953063,0.018671004925324426,1.8875777,0.984109
1381,2.0,0.8017717,0.019756610005048636,2.8616226,2373.4153,0.029072261636452608,0.07831758964182593,2.1211757e-14,0.052471288060022374,0.0684144055953422,0.0523193482287382,0.1886855774401181,0.039081253129094155,2.3743516832826623,0.7504611352375865
1382,1.0,0.16762443,0.0189509011880212,18.139769,3050.5564062437606,0.0200104681775122,0.07281842088296726,-3.908985680246612e-13,0.04093862621527744,0.06137315970441931,0.051957394498315435,0.11615677130799157,0.03232781279725957,2.104969421145401,0.9037669
1383,1.0,0.0,0.03682331790577163,4.721614,1858.7817,0.0811977708431211,0.0944860438927192,3.321042e-14,0.0235569659908749,0.0832895765685203,0.0133910096272277,0.3846493873650167,0.0102757201691256,2.2032075,0.7091339633673486
1384,3.0,0.4345285193287579,0.019775259899704467,14.806642158974512,5470.2837,0.0224835847067628,0.026395183930660905,2.4491318416204503e-12,0.05152990836783403,0.0129034924755764,0.016117008970536622,0.015497225,0.031133823379469874,2.262142802752466,0.96514446
1385,3.0,0.18971638,0.0121498331264784,15.015602,4866.448967824621,0.026552701494828627,0.0877963262089278,3.70118202379517e-12,0.0316494781433443,0.0794367538582086,0.05160564429894306,0.18259226852567395,0.0232373857709927,2.221678705197176,0.95417756
1386,1.0,0.3845383652483121,0.0144493819289348,36.08375959684787,2897.2393,0.018188301376013467,0.0343719505073776,1.2598704798103923e-12,0.02100894465237566,0.027907544339251,0.0197815656890178,0.07485313771649643,0.0133908291268258,2.0481379955098196,0.9918518
1387,2.0,0.6075513893971441,0.016615156285487417,43.740093,1879.5808397273286,0.025496564728546812,0.0959873684613349,3.5330471e-12,0.0380009932730658,0.08834572651273022,0.0685356865127548,0.1344795,0.0255391138944844,2.266674730962653,0.92354774
1388,1.0,0.16918282,0.012378319251426,57.85807,1403.2875,0.028592976280056782,0.0673938192737678,7.6058127e-13,0.0267554225115664,0.058219069434228665,0.0251107250076718,0.05269607335009113,0.020507225352392237,2.053124029544108,0.7832330182518104
1389,1.0,0.0,0.023689339457458748,19.134396,1507.8235,0.01734187376968758,0.0491466846000641,-1.292696557429449e-12,0.04583173016570432,0.0403209448766678,0.029427951235670453,0.03856691585191768,0.03583427030889083,2.2007716,0.8955832
1390,1.0,0.24477973712113466,0.0171964350167894,15.775237,3856.6668581825825,0.011287271157895129,0.0347030221208049,5.699401e-14,0.03511242639230348,0.0254805429098656,0.029055941502629055,0.08576091576154893,0.0291921073161334,2.0147722,0.92454046
1391,2.0,0.6835641239074007,0.0201514351078069,26.88075812496416,2799.3464185823213,0.005536262333975285,0.10336405196442132,3.882433658806447e-12,0.049204785171304964,0.10316393535995774,0.1187398496693861,0.15863599822070434,0.038292903310703265,2.2304716,0.9541012176075694
1392,1.0,0.2514908877898744,0.0111841021103563,13.469993,3696.7810470072673,0.010875047248774382,0.06849029276806862,2.9099437e-14,0.0273074941497847,0.057819587304602064,0.05406948562465415,-0.005715481,0.0217935611731082,2.0045798,0.8746666
1393,2.0,0.7135505915677699,0.032414811067978534,25.810115672989753,935.3088,0.03403613984039732,0.08815061417729907,3.5052278e-13,0.0765553529165584,0.0752733591126798,0.0617701575318566,0.18567402968648822,0.05742942174114005,2.4974372,0.9561439
1394,1.0,0.14760123,0.015797012179147397,13.438408,3274.2563,0.018842185125346307,0.07316494244232104,-1.0092148898302093e-12,0.022674976948202412,0.06330895513166226,0.05184497454283142,0.11704915947089373,0.0136193741370415,2.077325694177852,0.6740767812022779
1395,2.0,0.5304634742578095,0.024429720868635,34.06804498664411,396.02446213976145,0.024956837450043713,0.1297538007853063,2.5442574e-13,0.0405409684373313,0.12660298753455537,0.1049486198185572,0.10463011561651897,0.0297665897915511,2.359053001721284,0.7978517956424906
