,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
4,5.8258562088012695,6.605714797973633,6.771310329437256,1
10,6.638916969299316,3.2129881381988525,2.189011812210083,1
25,4.748802185058594,3.766370058059693,2.456795215606689,1
27,3.4755566120147705,0.097889743745327,0.8141366839408875,1
29,4.137670516967773,2.7086341381073,2.464151382446289,2
33,6.219092845916748,2.0131313800811768,4.326956748962402,2
36,2.370849370956421,0.8851558566093445,1.48737895488739,1
43,12.71303367614746,12.823637008666992,13.432530403137209,1
51,3.984715461730957,2.3340721130371094,3.61891770362854,1
53,9.753605842590332,17.069082260131836,17.461933135986328,1
56,1.97373366355896,5.154350757598877,6.268725395202637,1
63,13.072406768798828,3.3159334659576416,4.355351448059082,2
66,2.0348989963531494,3.0227580070495605,13.283230781555176,2
71,4.958593845367432,5.3628764152526855,1.2308467626571655,1
80,3.06488299369812,3.743013858795166,0.7705943584442139,1
85,5.015048027038574,3.43339467048645,3.956046581268311,1
86,9.707684516906738,7.029223442077637,4.943854331970215,2
91,6.63329553604126,2.477539539337158,3.7521042823791504,2
92,2.1406478881835938,2.9177844524383545,0.6113335490226746,1
93,7.267683506011963,3.5743134021759038,4.622641086578369,1
97,3.3177270889282227,6.9904303550720215,5.53944730758667,1
98,14.242473602294922,5.614087104797363,20.67206573486328,2
103,9.055933952331545,4.362545967102051,6.219923496246338,1
106,4.596645832061768,6.723860740661621,8.833015441894531,1
109,6.1959228515625,8.59351921081543,10.100519180297852,1
110,12.694360733032228,11.725784301757812,8.603357315063477,1
115,2.377819061279297,2.977622985839844,8.672806739807129,2
134,3.116206169128418,5.27921199798584,8.443225860595703,2
137,5.574066638946533,4.520751476287842,3.142708778381348,1
142,6.953935623168945,12.818276405334473,14.9208984375,2
144,18.844993591308597,32.61647415161133,12.01430606842041,2
153,3.284684181213379,2.096736192703247,1.0997294187545776,1
156,17.437166213989258,21.450035095214844,20.847644805908203,1
162,8.061002731323242,9.434898376464844,14.802051544189451,1
166,30.257125854492188,29.487329483032227,25.80697059631348,1
172,1.7166768312454224,0.6162698268890381,3.4201221466064453,1
173,5.916896820068359,2.898322820663452,3.987570762634277,1
177,3.8890373706817623,2.806360006332397,4.946238040924072,1
183,0.198959931731224,1.493770718574524,3.610619306564331,1
191,1.9577348232269287,0.8682408928871155,0.5320728421211243,1
192,2.5550827980041504,2.6167447566986084,3.664552688598633,2
197,4.889115810394287,3.182312488555908,0.4140607118606567,1
198,18.23350715637207,24.3663330078125,16.206640243530273,2
203,9.093117713928224,29.29207420349121,9.55263900756836,1
204,9.586989402770996,8.897906303405762,4.762943267822266,1
209,1.8365724086761477,4.868515491485596,6.755931377410889,1
213,11.481409072875977,8.830952644348145,8.575704574584961,1
218,3.095314741134644,0.792582631111145,3.550454378128052,1
221,5.664584636688232,3.7242965698242183,5.6849565505981445,1
224,13.29509735107422,8.90345573425293,12.371350288391112,1
225,3.710841655731201,2.902334451675415,7.604968547821045,2
226,19.5424747467041,9.11495876312256,14.940671920776367,2
227,18.75452423095703,19.513032913208008,30.28721809387207,1
230,2.721055746078491,1.9944859743118288,1.8392488956451416,2
231,14.13477611541748,17.311790466308594,20.348953247070312,1
232,4.727338790893555,3.740180492401123,5.008262634277344,2
237,10.803418159484863,10.011330604553224,8.245814323425293,1
241,5.233427047729492,10.008343696594238,9.770223617553713,1
242,6.598204135894775,8.505313873291016,6.765561580657959,1
254,9.92552661895752,17.861270904541016,14.378654479980469,1
261,3.859920263290405,3.582415819168091,2.6755313873291016,1
266,8.13676643371582,11.194472312927246,15.547868728637695,1
281,14.64876937866211,15.23643684387207,26.46697998046875,2
285,1.5399696826934814,4.120209217071533,2.816103458404541,1
286,7.986728668212891,2.8312911987304688,10.938543319702148,1
290,3.229746103286743,4.0348286628723145,1.7180927991867063,2
291,9.460050582885742,3.052089214324951,3.989665269851685,1
301,1.2285947799682615,1.6562995910644531,1.5683197975158691,2
302,59.47281646728516,58.13037109375,107.12580871582033,2
303,6.23091983795166,5.303025245666504,7.680952548980713,1
305,3.381733655929565,12.401305198669434,18.521120071411133,2
308,13.032450675964355,12.2399263381958,12.966822624206545,1
312,0.0917399749159812,1.5165337324142456,6.17092227935791,1
318,3.273293972015381,6.878003120422363,5.994326114654541,2
319,29.223838806152344,48.981971740722656,42.636695861816406,1
320,0.71926349401474,5.501864910125732,1.3158915042877195,2
323,4.62241792678833,3.7352349758148193,4.90619707107544,1
325,4.187004566192627,13.42287540435791,29.91340446472168,2
326,0.3111423552036285,1.4773682355880735,6.423117160797119,2
327,9.764413833618164,6.452712535858154,12.126299858093262,2
330,10.65307903289795,7.879607677459717,8.481039047241211,1
331,4.479554176330566,5.013608932495117,2.732649564743042,1
333,2.6256344318389893,4.963591575622559,8.423738479614258,2
336,8.946280479431152,7.108401775360107,12.683781623840332,1
337,5.691579341888428,6.466664791107178,15.62484645843506,1
338,5.429999828338623,6.170196056365967,6.360996723175049,2
340,1.9430607557296755,1.5967614650726318,4.941051006317139,1
345,5.460806369781494,5.750157833099365,1.9022995233535769,2
349,10.313135147094728,22.707504272460938,17.89257049560547,2
350,5.214938640594482,5.265904426574707,3.4717984199523926,1
352,2.095342874526977,0.6397584080696106,1.262865424156189,1
356,21.4046573638916,24.18973731994629,21.85851287841797,1
361,1.572811484336853,5.51973819732666,4.960161685943604,1
365,4.366445064544678,1.6853575706481934,0.5169176459312439,1
367,6.3061299324035645,3.922523260116577,3.749321222305298,1
373,6.383666038513184,6.265676975250244,5.914671421051025,1
379,1.1502182483673096,2.3516619205474854,1.71272075176239,2
383,0.942811906337738,2.845864772796631,3.7165350914001465,1
384,5.689020156860352,8.54359245300293,4.957828044891357,1
385,4.603116035461426,3.499391794204712,3.738745450973511,1
398,4.428668022155762,1.3478567600250244,1.6725274324417114,1
399,1.35971999168396,5.601701259613037,4.805692195892334,2
402,9.542463302612305,7.100980758666992,12.95797634124756,1
406,8.870731353759766,21.4755916595459,11.624284744262695,2
407,3.938411474227905,2.4306113719940186,4.766408443450928,2
408,6.214703559875488,2.8945634365081787,4.250300884246826,1
412,23.624412536621094,15.339396476745604,13.314509391784668,2
417,5.78201961517334,8.967218399047852,8.18940544128418,1
423,25.62545585632324,23.832597732543945,29.22377014160156,1
426,26.51212501525879,22.02288055419922,18.79713630676269,2
429,24.99037170410156,9.104729652404783,12.961688041687012,2
430,11.997057914733888,6.633932590484619,11.126016616821287,1
431,7.347638130187988,6.392240524291992,7.332908630371094,1
434,4.187695503234863,3.6876981258392334,5.673600196838379,1
443,3.198047876358032,5.431652069091797,2.4922215938568115,1
445,12.33260440826416,15.19393539428711,12.052597999572754,1
447,1.1223046779632568,0.8836178183555603,4.1998820304870605,1
450,3.118494272232056,1.542319655418396,2.443645477294922,2
451,15.893540382385254,18.94196891784668,11.645024299621582,1
454,39.120208740234375,36.85881423950195,36.91538619995117,1
457,3.161607503890991,11.874982833862305,8.910910606384277,1
459,5.080702781677246,5.10181999206543,3.470744371414185,1
464,5.629079818725586,7.68364953994751,4.585687160491943,1
477,2.1292080879211426,6.446568965911865,4.646787643432617,2
478,9.470477104187012,11.11250114440918,9.247333526611328,1
486,8.200386047363281,5.096884727478027,10.098834037780762,1
490,4.491922855377197,3.5660691261291504,7.636778354644775,1
498,2.49524450302124,4.275640964508057,3.8529052734375,1
499,7.098962783813477,4.595271587371826,2.2469944953918457,1
503,9.778550148010254,4.343581676483154,1.745720386505127,2
509,6.180572986602783,4.181944370269775,6.219404697418213,1
515,6.29939603805542,2.6683473587036133,8.729521751403809,1
516,3.892491102218628,4.539729595184326,5.303332328796387,1
518,3.668913125991821,3.575448036193848,4.014907836914063,1
525,1.2559778690338137,4.016828536987305,1.917107343673706,1
527,2.549588441848755,3.414766788482666,3.598973035812378,2
532,4.045529365539551,2.1027185916900635,2.256478786468506,1
533,7.312887668609619,10.962980270385742,12.751648902893066,1
536,1.3438119888305664,1.5315669775009155,1.7814866304397583,1
542,4.68608283996582,7.383999824523926,6.730687141418457,2
544,21.36631965637207,12.236273765563965,5.845663547515869,2
548,5.924762725830078,4.7700066566467285,18.31265640258789,2
552,2.909148931503296,1.0443259477615356,2.5405757427215576,1
559,4.714549541473389,2.2077112197875977,1.6050251722335815,1
560,2.657453775405884,4.570363998413086,1.514723777770996,1
561,0.4475954473018646,6.617992401123047,2.516288995742798,1
562,10.785280227661133,13.08799171447754,18.357257843017575,1
565,5.3242597579956055,2.3385612964630127,0.5298004150390625,1
568,29.811418533325195,21.19652557373047,47.52335357666016,2
570,23.47755622863769,26.53899574279785,24.97631072998047,1
577,3.8601109981536874,8.494223594665527,5.967158794403076,1
593,2.127868890762329,4.622608184814453,5.095990180969238,1
595,8.831125259399414,10.80100917816162,3.580937147140503,1
597,2.7658960819244385,4.698151588439941,5.214064598083496,2
598,10.628067016601562,7.913774013519287,12.534795761108398,1
600,7.840027809143066,11.280251502990724,20.10321044921875,2
606,1.4852815866470337,1.0328245162963867,2.2947144508361816,1
612,30.961694717407227,29.57706451416016,31.576072692871094,2
615,1.9413751363754272,4.24523401260376,1.179245114326477,1
619,49.61167144775391,52.76632690429688,44.20548629760742,1
623,2.6077651977539062,3.556140661239624,2.177616596221924,1
624,2.500781536102295,4.260570049285889,3.312023878097534,1
630,3.597323179244995,4.405378818511963,0.3697146773338318,1
648,1.568604588508606,1.2799279689788818,1.7595778703689575,2
650,4.730206489562988,7.779466152191162,4.862074851989746,1
655,29.605377197265625,21.93303108215332,24.955955505371094,2
657,3.928082466125488,5.645711421966553,2.228553533554077,2
662,3.50984525680542,2.0805492401123047,5.015732288360596,2
664,4.965853214263916,6.222568988800049,3.307468891143799,1
665,10.199629783630373,6.0632805824279785,8.475360870361328,2
666,3.2434117794036865,4.055702209472656,13.891401290893556,2
668,3.641270399093628,5.028595924377441,4.932187557220459,1
669,3.617522954940796,3.558149576187134,2.0100314617156982,1
674,3.557206630706787,2.6693921089172363,4.655084133148193,1
677,5.805896759033203,1.0420619249343872,5.212073802947998,2
684,48.59443283081055,36.85955810546875,16.922237396240234,2
685,2.388162851333618,2.7828290462493896,7.408899784088135,1
688,15.001153945922852,12.419031143188477,14.201656341552734,1
689,21.10369682312012,57.71858596801758,82.85000610351562,1
699,1.999998927116394,2.9849655628204346,3.8741989135742183,1
702,4.931058883666992,5.733323097229004,3.4719903469085693,1
712,1.4254285097122192,6.029500961303711,3.2899537086486816,1
715,8.521326065063477,9.787819862365724,12.703454971313477,1
720,1.984684944152832,1.5051467418670654,1.84908127784729,2
722,5.956153869628906,10.922548294067385,18.48603057861328,2
734,2.6112990379333496,1.958802938461304,3.281128406524658,1
740,5.164909839630127,7.712196350097656,2.3122923374176025,2
745,23.808351516723636,20.46913719177246,9.879402160644531,2
746,2.9293034076690674,2.8819868564605717,1.8333925008773804,2
747,1.723116159439087,4.152082920074463,5.4321064949035645,2
748,4.2609076499938965,2.826064348220825,2.6278624534606934,1
750,1.6496559381484983,1.992436647415161,1.6440117359161377,2
