,Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,CLASS1
260,24.111116,716.9914,9.321415e-10,1.1245256e-11,2.8552187e-12,2.424828,3.0478872e-12,2.3679745,0.0561647,1.9704467,2
261,20.307972,1549.1743,5.7299676e-10,4.3661936e-12,2.314223e-13,2.1528928,2.7412312e-13,2.0259767,0.15605672,3.8233657,1
262,146.01923,381.35083,4.2598565e-09,6.4913276e-11,8.203703e-11,2.5461638,9.334953e-11,2.4145565,0.15120327,15.222248,2
263,10.282987,1874.3735,1.7862128e-10,2.0691524e-12,5.424562e-14,2.224652,6.039808e-14,2.1491835,0.08971564,1.2768686,1
264,61.02579,546.3514,2.4924627e-09,2.6676257e-11,1.3840355e-11,2.3759303,1.512999e-11,2.2303336,0.11566726,7.8272824,2
265,21.75386,1406.3059,8.4425017e-10,1.0276148e-11,5.029817e-13,2.3042233,5.274675e-13,2.2888112,0.032374464,1.1973753,1
266,20.429445,1559.9371,6.449809e-10,4.4904683e-12,2.4424757e-13,2.0784853,2.930243e-13,1.8361496,0.20415692,4.0195103,1
267,24.166164,822.8525,5.348058e-10,7.0640993e-12,1.1966515e-12,2.3996959,1.2894015e-12,2.3636925,0.059020877,1.8703555,2
268,19.908537,1130.8817,9.718487e-10,1.2577141e-11,1.0269684e-12,2.4979243,1.1894638e-12,2.5744374,0.118775696,4.568252,2
269,11.617396,5340.615,3.839656e-10,4.413762e-12,1.4412427e-14,1.9151593,1.5787324e-14,1.8628201,0.053547315,1.0433552,1
270,74.607,575.5654,3.2344813e-09,3.50406e-11,1.5471508e-11,2.3498623,1.699109e-11,2.2492335,0.094602324,7.2953396,2
271,57.874634,2089.1255,3.0190102e-09,2.771151e-11,6.535455e-13,1.9531106,7.1899653e-13,1.8170502,0.08796234,5.707919,1
272,41.315685,1055.8533,1.5775018e-09,1.5313585e-11,1.6082245e-12,2.2002954,1.6940503e-12,2.120474,0.05738479,2.8458984,1
273,32.571613,869.0331,7.0417844e-10,6.252123e-12,1.1096202e-12,2.2295237,1.2310409e-12,2.1029208,0.1167682,3.8949366,1
274,258.51013,873.59894,1.940544e-08,1.743785e-10,2.700298e-11,2.103675,2.9499913e-11,2.006252,0.08129585,17.648438,1
275,19.914165,2881.741,3.6665337e-10,4.2341755e-12,4.4871472e-14,1.9055432,5.0341594e-14,1.8149948,0.07902364,1.9292248,1
276,15.082256,1940.8285,3.2268646e-10,3.6668264e-12,9.010142e-14,2.181269,9.375178e-14,2.1586657,0.02891547,0.6052914,1
277,21.231548,2769.053,4.280537e-10,4.141297e-12,5.5223655e-14,1.9147792,6.090758e-14,1.7573895,0.09353813,2.3653722,1
278,44.64831,658.0166,1.0169705e-09,1.1426915e-11,3.878333e-12,2.427916,4.351694e-12,2.3255296,0.12768516,5.725949,2
279,47.29402,1927.4333,2.7482034e-09,2.5548246e-11,7.3307495e-13,2.114058,7.9222745e-13,2.0539489,0.061681245,4.0029006,1
280,23.48558,1856.244,4.563016e-10,3.319756e-12,1.1755854e-13,1.9782925,1.4264136e-13,1.7038908,0.20665085,4.6471114,1
281,14.204053,1055.0642,3.5403652e-10,3.01142e-12,3.5024872e-13,2.2446132,3.9989905e-13,2.0972142,0.12708695,2.41193,1
282,9.0991745,989.2858,1.8751618e-10,2.6656862e-12,2.8319862e-13,2.4694963,3.0364434e-13,2.4380884,0.054828465,0.77055246,1
