,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
4,10.227452278137209,7.208447456359863,5.8258562088012695,6.605714797973633,6.771310329437256,1
10,2.2162439823150635,5.653224468231201,6.638916969299316,3.2129881381988525,2.189011812210083,1
25,1.8127769231796265,3.1141810417175293,4.748802185058594,3.766370058059693,2.456795215606689,1
27,4.712510585784912,0.9725648164749146,3.4755566120147705,0.097889743745327,0.8141366839408875,1
29,3.281045913696289,3.5706677436828613,4.137670516967773,2.7086341381073,2.464151382446289,2
33,4.909520626068115,6.549127101898193,6.219092845916748,2.0131313800811768,4.326956748962402,2
36,2.704267978668213,1.989346265792847,2.370849370956421,0.8851558566093445,1.48737895488739,1
43,16.866806030273438,16.388710021972656,12.71303367614746,12.823637008666992,13.432530403137209,1
51,5.258607864379883,6.629829406738281,3.984715461730957,2.3340721130371094,3.61891770362854,1
53,24.92598342895508,15.618504524230955,9.753605842590332,17.069082260131836,17.461933135986328,1
56,2.503706693649292,3.371030330657959,1.97373366355896,5.154350757598877,6.268725395202637,1
63,1.0772420167922974,3.5433239936828613,13.072406768798828,3.3159334659576416,4.355351448059082,2
66,3.721485376358032,3.5739121437072754,2.0348989963531494,3.0227580070495605,13.283230781555176,2
71,7.470542430877685,6.464919090270996,4.958593845367432,5.3628764152526855,1.2308467626571655,1
80,2.8410532474517822,5.669565677642822,3.06488299369812,3.743013858795166,0.7705943584442139,1
85,2.3338844776153564,1.716433882713318,5.015048027038574,3.43339467048645,3.956046581268311,1
86,14.403483390808104,6.800592422485352,9.707684516906738,7.029223442077637,4.943854331970215,2
91,1.7449225187301636,16.766769409179688,6.63329553604126,2.477539539337158,3.7521042823791504,2
92,2.436774730682373,0.0730950385332107,2.1406478881835938,2.9177844524383545,0.6113335490226746,1
93,3.650517225265503,4.440628528594971,7.267683506011963,3.5743134021759038,4.622641086578369,1
97,4.100876808166504,4.672120094299316,3.3177270889282227,6.9904303550720215,5.53944730758667,1
98,2.78725528717041,11.370338439941406,14.242473602294922,5.614087104797363,20.67206573486328,2
103,5.585066795349121,11.814963340759276,9.055933952331545,4.362545967102051,6.219923496246338,1
106,11.998406410217283,5.976746559143066,4.596645832061768,6.723860740661621,8.833015441894531,1
109,8.887864112854004,8.190947532653809,6.1959228515625,8.59351921081543,10.100519180297852,1
110,15.35281467437744,17.261096954345703,12.694360733032228,11.725784301757812,8.603357315063477,1
115,1.3555742502212524,4.150330066680908,2.377819061279297,2.977622985839844,8.672806739807129,2
134,6.380953788757324,5.623734474182129,3.116206169128418,5.27921199798584,8.443225860595703,2
137,9.477987289428713,8.258633613586426,5.574066638946533,4.520751476287842,3.142708778381348,1
142,18.1743106842041,7.844264507293701,6.953935623168945,12.818276405334473,14.9208984375,2
144,17.58612632751465,15.88700008392334,18.844993591308597,32.61647415161133,12.01430606842041,2
153,2.292194604873657,1.5177539587020874,3.284684181213379,2.096736192703247,1.0997294187545776,1
156,25.588891983032227,17.513273239135742,17.437166213989258,21.450035095214844,20.847644805908203,1
162,6.2177581787109375,8.353376388549805,8.061002731323242,9.434898376464844,14.802051544189451,1
166,16.77596664428711,23.967300415039062,30.257125854492188,29.487329483032227,25.80697059631348,1
172,2.802107334136963,1.4043492078781128,1.7166768312454224,0.6162698268890381,3.4201221466064453,1
173,3.7489616870880127,3.775790691375733,5.916896820068359,2.898322820663452,3.987570762634277,1
177,2.225236415863037,2.9936864376068115,3.8890373706817623,2.806360006332397,4.946238040924072,1
183,4.13425350189209,3.52894926071167,0.198959931731224,1.493770718574524,3.610619306564331,1
191,3.1309680938720703,3.0915396213531494,1.9577348232269287,0.8682408928871155,0.5320728421211243,1
192,2.408682346343994,7.9687581062316895,2.5550827980041504,2.6167447566986084,3.664552688598633,2
197,4.764906883239746,4.110036849975586,4.889115810394287,3.182312488555908,0.4140607118606567,1
198,7.239937305450439,29.764217376708984,18.23350715637207,24.3663330078125,16.206640243530273,2
203,11.543895721435549,15.600571632385254,9.093117713928224,29.29207420349121,9.55263900756836,1
204,9.274459838867188,8.598308563232422,9.586989402770996,8.897906303405762,4.762943267822266,1
209,6.230180263519287,5.721411228179932,1.8365724086761477,4.868515491485596,6.755931377410889,1
213,11.884258270263672,8.74731159210205,11.481409072875977,8.830952644348145,8.575704574584961,1
218,1.5616658926010132,1.2732887268066406,3.095314741134644,0.792582631111145,3.550454378128052,1
221,6.229701995849609,3.5125529766082764,5.664584636688232,3.7242965698242183,5.6849565505981445,1
224,11.046675682067873,11.190449714660645,13.29509735107422,8.90345573425293,12.371350288391112,1
225,5.308324337005615,5.103728771209717,3.710841655731201,2.902334451675415,7.604968547821045,2
226,7.647315979003906,9.708349227905272,19.5424747467041,9.11495876312256,14.940671920776367,2
