,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46,Photon Index,Variability_Index,CLASS1,y_pred,y_probs_bll,y_probs_fsrq
497,0.06914466002339803,-0.037017921862888416,-0.07349959588117791,-0.07608404896659089,-0.6150112559477566,0.3457327853718187,-0.27902690913978256,-0.7287613964659921,0.4408879531143332,0.6540513981681546,-0.6505787305363866,-0.6756854919545144,-0.4167698521248163,-0.10790484905311087,0.0,0.0,0.9627697666816232,0.03723023331837673
498,-0.6017871865218787,-0.6726454618471068,0.26204296705909913,0.30317388390570704,-0.7225743685397668,-1.2054108517877806,-0.2726512189452805,-0.8097787160187049,-1.03891766064983,-0.7541980231250599,0.004128546995965688,-0.6537162865514233,-1.7170237971078932,-0.11560353093227381,0.0,0.0,0.9961047478140195,0.003895252185980463
499,0.7056438370998909,-0.26160196556260684,-0.4644976584875248,0.6575453165779079,-0.4769763815324207,0.700193402621898,-0.2883822251047993,-0.7125717536672206,0.7305005167485277,0.9161006770914815,-0.4390365543840456,-0.7390472721056909,-0.5628855147043705,-0.11118644004426552,0.0,0.0,0.9618101532968476,0.03818984670315226
500,-1.1798208502659275,-0.3890337028684009,-0.4903967411888759,2.8881647285899144,-0.7843205261594968,-1.6035919464555426,-0.29037759658462153,-0.7895187381187028,-1.5724436158431492,-1.0971199712394226,0.03513971025784563,-0.7786701191750175,-1.193477944934803,-0.11759906863646559,0.0,0.0,0.9957414151268393,0.004258584873160494
501,-1.1798208502659275,0.45030877271238096,-0.5944618118184483,-0.6345338601592886,-0.46371003790225324,0.29401129662215025,-0.25688444121758724,1.9675660603649805,0.3772475195692515,0.5247711894151492,-0.9045875743174664,2.189776575356598,1.390555955479432,-0.12033297854917915,0.0,0.0,0.5025051759482508,0.4974948240517493
502,-0.5504449788868053,-0.07728153737138445,0.1344082099643203,-0.44157073766940536,-0.35771428231636354,-1.0336990440675828,-0.21532478625862658,-0.4839599995891012,-0.9955567109543044,-0.786816666558363,-0.5890555490108352,-0.4546379183296713,-0.3313106508207434,-0.1119864439716278,0.0,0.0,0.9695814506314548,0.03041854936854508
503,1.2707238293126608,1.1150322346703478,-0.26774894009284217,-0.6795135817961554,0.681921125797773,1.8786110521621613,0.19515321157976914,1.9609996750210976,1.7243766931427875,1.4211151726059368,1.909996887711764,1.8818634243205876,2.2890538685581614,-0.06913905070760738,1.0,1.0,0.01446816282465005,0.9855318371753501
504,0.12052679617204513,0.2721244858858325,2.7520184646037085,-0.725380076180855,0.013942118566782338,0.5985652028550875,2.2917170597811545,-0.324873150194879,0.5576170447199933,0.5592751174934433,-0.4707565519548736,-0.4047771380416381,-0.020006316024666203,0.31977243318289406,1.0,1.0,0.2718100204914713,0.7281899795085287
505,0.28257153025710896,-0.06429226472520402,-0.6215077094555694,-0.22272508470481178,-0.32476920898604644,0.1262628641631251,-0.2860391038224597,0.8387950971732805,0.2476988083325878,0.2922016951328894,1.4429241088236717,1.0308802549850662,0.39612738482535415,-0.11743255381917123,0.0,0.0,0.6193828354237063,0.3806171645762938
506,-0.3433724960850501,-0.08858506264353475,0.008162766991343032,-0.41670061833681715,-0.3271599215682006,0.35517592380741364,-0.24720174612138032,-0.37255214084907967,0.3479374573214431,0.5100748282481056,-0.19797060176526435,-0.4125561900244131,-0.6535500038642241,-0.11243171936339018,0.0,0.0,0.9703068924212526,0.029693107578747456
507,1.6125385334330768,0.340670104030247,5.050597597993394,-0.6852501125776834,0.04409239698691092,0.9328676151948613,3.2091776028644117,-0.13319740423856,0.9015131589674383,0.8601739789910283,-0.36693101478155454,-0.19577705537815537,0.21789577745809174,4.300850271790039,1.0,1.0,0.09501381334907091,0.9049861866509292
508,-1.1798208502659275,-0.6365781543639989,-0.5475948191433265,6.030758179071277,-0.7617395164645223,-1.56782843905924,-0.290640054817545,-0.980673958559736,-1.5565197741451084,-1.0754219813568027,-0.7368653302398359,-1.0056825533658598,-1.6449968766293197,-0.11920783310508926,0.0,0.0,0.9945809841220695,0.005419015877930346
509,-1.1798208502659275,0.47273742192582024,-0.5954205444306865,0.35692878316197924,-0.4048792463213682,-0.23917956744865554,-0.2897301644725473,-0.9507253177397301,-0.20550769907930214,-0.010774220202641908,-0.9055500904730849,-0.9718439938467861,-0.06614334362256323,-0.11919693657787536,1.0,0.0,0.9726641896651096,0.02733581033489041
510,0.3135853073702764,0.0906732418417762,-0.4638128102521979,-0.45578732901490104,-0.2068040283872432,0.5498970062920678,-0.26769696101816537,-0.3599871891036042,0.5598978725517011,0.630459088767096,0.9335976672418494,-0.38317664757831055,-0.4317583560196469,-0.11303358157927619,0.0,0.0,0.8516560800319158,0.14834391996808402
511,1.2631854490539445,-0.21702694981136839,-0.4699114589938649,-0.034853364596906924,-0.3547558368126711,0.07821403108086303,-0.28465320868531097,-0.5687837718038714,0.1696809632673088,0.2627023695093812,0.4175566643217714,-0.5043660723863439,-0.1101489718155197,-0.10711560284590341,0.0,0.0,0.7882855153982137,0.21171448460178638
512,-0.6260727414804962,-0.5303396681053405,0.3410228678410773,-0.09007571997167903,-0.6396265661887353,-1.2401017150383509,-0.2667470734139941,-0.8572883334663116,-1.119462954044868,-0.8312339516066489,-0.5096219281077027,-0.7557905679818004,-1.4706474196199943,-0.11466530528931528,0.0,0.0,0.9946539111765638,0.005346088823436202
513,-0.23700994750017945,-0.18925044070350772,3.8407566102976953,-0.4627260765814263,-0.4172780698419025,-1.0596832813687491,0.4597999331981124,-0.6533060063555618,-1.018262343829485,-0.7795594587569863,-0.6856959144816802,-0.6311422854946787,-0.7938492537314137,0.14639075106082555,0.0,0.0,0.9169130316404372,0.08308696835956261
514,0.11001612344679922,0.14964248606157463,-0.4560246332560784,-0.3120829620655577,0.16662633280973366,0.6955142310405683,-0.27720432427638236,-0.597670470317751,0.6816854659106517,0.5700244932340245,-0.3569597392046773,-0.666795735198061,0.3231104304828151,-0.11392281317651129,1.0,0.0,0.7325546364714997,0.2674453635285003
