,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46,PL_Index,ASSOC_PROB_LR,CLASS1,y_pred,y_probs_bll,y_probs_fsrq
611,0.12410337181376245,-0.12012625298974837,-0.38454414655907526,1.9529154344397384,-0.8240209051091989,2.0225792332221464,-0.25324425471288814,-1.0474093910686058,2.205056274070307,2.3819156740907093,-0.10979733627212734,-0.9573343339887224,-1.3590756635821395,0.4925449388762814,0.0,0.0,0.9797133581550084,0.020286641844991925
612,1.6748709590644006,0.23268779760248273,0.31551822070158014,-0.6815890226872016,-0.16307334740455787,0.334373549515253,-0.051947619613894346,-0.1547190346670748,0.34427389860100044,0.40784888886254134,-0.5013245978041143,-0.16228406519939784,0.3697323093123728,0.5663278606810448,1.0,1.0,0.24694306961258178,0.753056930387418
613,0.9880519613913237,0.4278438747665784,-0.26462446170545345,-0.672075182042447,0.210145854731287,1.2202552079531177,-0.18417928319218135,-0.2720788265804289,1.1167938318019988,1.0746444432648952,0.2152731595976485,-0.44153796507649123,0.8570479420711897,0.24144438830679904,1.0,1.0,0.11670514748172303,0.8832948525182767
614,1.295886416502086,0.47350875744783616,-0.06568714703368353,-0.6495606690554003,0.3598000942994104,0.023667280424778434,-0.11867751494900476,2.0750763276462156,-0.056185600243277,-0.16371842003515027,0.730241394626306,2.135432768958756,0.7427019450289878,0.39766616756980283,1.0,1.0,0.08282442465858994,0.91717557534141
615,-0.3493407592417443,-0.7481287342623696,-0.3824180876650233,0.08002280116790057,-0.5411676149942171,1.0181457432972254,-0.24939284369340076,-0.518533919808057,1.1980550453636583,1.2649102868502187,0.6512189127087258,-0.3703114118220322,-0.8755298288684868,0.16918094244765725,0.0,0.0,0.9842908487699861,0.015709151230013856
616,-1.19543743715472,0.19043676448466199,-0.47170199245502975,1.084598413228287,-0.7154399742363551,0.6654203442613722,-0.25259233182048013,-0.5924095492322351,0.696465094486849,1.0131136280521436,0.7585160400901901,-0.6149093228367464,-0.8671800204282105,0.4746792245402422,0.0,0.0,0.985362472154317,0.014637527845682794
617,-1.19543743715472,-0.1864068369005076,-0.3685132717061014,-0.1876540028112869,-0.5106988316450208,0.3317350046061033,-0.24465172418141032,1.4983098910623327,0.43199959355997064,0.5847461880669703,-0.04785327068707876,1.7161085688620805,-0.21209358005574952,-2.115875766763779,0.0,0.0,0.9756891257697738,0.024310874230226105
618,-1.19543743715472,-0.5162377427337987,-0.5348987826058738,0.7309788952125595,-0.6890652527633474,0.4760646960996845,-0.252603752011468,0.41010158231180394,0.5735405314905674,0.8163533218991591,1.1944619105624057,0.5419857446151618,-0.7474850260539114,-2.115875766763779,0.0,0.0,0.9910513768205595,0.00894862317944046
619,-0.2840794500107557,0.3768800929171454,-0.3226740638064406,-0.6615052830515565,0.0939671656045566,0.5794567002659227,-0.17183839331627512,-0.13154384685640896,0.5079854131789431,0.5126381258899336,0.2836804439078783,-0.23769675940752857,0.5889338143768232,-2.115875766763779,0.0,0.0,0.742793081746648,0.25720691825335207
620,-0.022672324385392958,0.07024494096962557,-0.6170732338076365,0.8979214201178645,-0.24525548644411838,0.07259201488999655,-0.2532905178205892,-0.674087505742856,0.10915243180257506,0.1968089592417822,-0.12243730691976354,-0.6823649580862163,-0.6970463982183069,-2.115875766763779,0.0,0.0,0.9886963984559042,0.011303601544095676
621,-0.351480421447802,0.19848518490607137,0.10026417004282036,-0.628335211901276,-0.24606153102040768,1.0978245401549387,-0.12947051493950204,-0.4672588811191913,1.081431967540335,1.1904784657110525,-0.5794696233023727,-0.546288873107149,-0.0665316338245021,0.6203379978807042,1.0,0.0,0.8435541549423927,0.15644584505760725
622,0.8495498839948751,1.1129686137692691,-0.22651328823669914,-0.8719487887550814,0.8412108705704846,0.00248949073910271,0.5920748670837401,1.281509507360936,-0.2370452058844429,-0.4338295368087989,0.6731670886458953,1.099210145447295,1.633275923364781,0.6184249608322804,1.0,1.0,0.01049042921408606,0.989509570785914
623,0.20155318895403782,-0.024960128816715055,0.6084301474818796,-0.23043278846349627,-0.2859995791510428,0.8293719290115193,-0.1693100312708888,-0.4846484274661564,0.8781711636422527,0.9508279071754372,-0.47304798067310505,-0.48251990992030824,-0.2581087875729034,0.6001659043578186,0.0,0.0,0.9059181427665072,0.09408185723349272
624,-0.1397557001216504,-0.06243420473946871,-0.3461816776891912,0.05387465180543267,-0.29890497935549915,0.12939826136796037,-0.2502639629590616,-0.8373116702300134,0.2026412556957654,0.2795346427354879,-0.776380582425444,-0.8161285947390593,-0.6467035197289415,0.5892131965796746,0.0,0.0,0.9776053453717426,0.02239465462825748
625,0.41314510758410444,0.25219443691700216,0.3032138850802197,-0.7026786336212792,-0.03133598733443627,1.8317609148927287,-0.0006504455797590334,0.22766438802564667,1.8563877302157237,1.7925946328329379,-0.5167733960493607,0.2291495329318085,0.5477908522386152,-2.115875766763779,1.0,0.0,0.6352883349866911,0.364711665013309
626,-0.1702560255642983,0.2275938897840652,-0.4513871253303414,-0.5936822613969376,0.35378699774039374,-1.10132426625974,-0.22684122712349186,0.8369725226787527,-1.1014889617987567,-1.2496130078478433,0.017548981674359847,0.9225919302402862,0.8926903037457561,0.10879513727903216,0.0,1.0,0.3614651945322106,0.6385348054677894
627,2.3068598089272117,0.5485497368492005,0.06709356956754109,-0.7395247127301221,0.1497137690220271,1.6212603144984175,0.16388959472907244,-0.2686515210795025,1.524184089455382,1.4953068862898082,-0.2549817433319673,-0.44065774049591266,0.7123164884333656,0.588598454082356,1.0,1.0,0.058495430285741154,0.941504569714259
628,-1.19543743715472,0.5987271974648911,-0.5977800518129742,-0.44871127638103386,0.8014368168306454,0.6377222034707906,-0.22240163692302206,-0.20852890540705044,0.5426453867923028,0.20344992214942417,0.8927863952717953,-0.3491356390985489,1.5915910465238987,-2.115875766763779,0.0,1.0,0.34256258716903154,0.6574374128309686
629,1.5972938117177606,0.07164896892546754,-0.4720976341324221,-0.047196406561266155,-0.3112256896403837,0.6358212579486406,-0.24979436023155696,-0.5231643757312234,0.6534764960488261,0.7763031974796347,-0.21916241972475253,-0.5555283468339092,-0.02072953509533185,0.10553360809534967,0.0,0.0,0.6815912412822753,0.3184087587177248
