,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy
365,1,0.35518366,0.0145914159556382,15.22335,7320.02
367,1,0.2986392,0.0137397450911966,24.63712,3197.745
373,1,0.49980885,0.0172789185868904,28.198174,970.0506
379,2,1.170488,0.0279054514388645,13.1522255,705.30426
383,1,0.0,0.021327823643874,6.4977074,3093.7573
384,1,0.12554996,0.0179517140451509,25.454832,1104.9729
385,1,0.96830565,0.0137075069506775,17.10013,2696.778
398,1,0.060885843,0.0091403161390109,10.988258,2480.4307
399,2,0.69751227,0.0266319941004973,20.428009,572.5509
402,1,0.5288636,0.0072558304607844,38.43588,4006.6326
406,2,0.44215408,0.0232426932956188,65.05709,715.51337
407,2,0.0,0.0037251130134444,9.965991,2938.8613
408,1,0.0,0.0166413265089746,14.5246,1831.0087
412,2,1.1010146,0.0234165945575039,59.269447,642.4592
417,1,0.16313803,0.0116517212181394,30.855371,2301.4739
423,1,0.15536742,0.0086079528112373,104.148834,2421.055
426,2,0.95034295,0.0215860365316559,70.62777,738.83
429,2,0.8475463,0.0281723383057522,38.22627,404.0092
430,1,0.31523117,0.0158358711999,40.553074,3459.0796
431,1,0.48239565,0.014082806490572,15.999188,3155.156
434,1,0.23253256,0.0191588918012559,16.476215,1608.5587
443,1,0.44392523,0.0136096501000879,7.608292,4313.077
445,1,0.6684058,0.018700309802729,87.57336,762.67505
447,1,0.6692759,0.0188305385379465,6.682879,1997.585
450,2,0.61903656,0.0260063711077934,9.924049,851.6177
451,1,0.39411476,0.0127767506808785,45.684544,1701.2908
454,1,0.30240378,0.0184968624959399,111.308716,863.61633
457,1,0.53462356,0.0136608904139998,21.65224,1465.6677
459,1,0.0,0.0128139832130802,15.893586,1753.6908
464,1,0.25417575,0.0088745721875367,23.2941,3788.7065
477,2,0.64194876,0.0275781986624272,15.044248,584.08923
478,1,0.40652758,0.015261418225667,27.619675,2361.1997
486,1,0.40643388,0.0137518492391167,40.257175,1531.9746
490,1,0.4303833,0.0197939419945827,17.4538,1150.6598
498,1,0.5926611,0.0170190405208192,20.273046,1851.3926
499,1,0.41298202,0.0069296659522155,27.273413,2474.2642
503,2,0.99588865,0.0258418444500689,18.699427,804.7715
509,1,0.37177792,0.0185027842826509,29.376339,1002.2595
515,1,0.4592857,0.0154524607962702,34.934772,1932.764
516,1,0.44325408,0.0163179562228744,23.387638,1255.1698
