,Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,LP_EPeak,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,ASSOC_PROB_BAY,Flux_Band_0,Flux_Band_1,Flux_Band_2,Flux_Band_3,Flux_Band_4,Flux_Band_5,Flux_Band_6,Flux_Band_7,nuFnu_Band_0,nuFnu_Band_1,nuFnu_Band_2,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
281,4.085048756453982,7.516030283738251,-19.307630658507012,-23.911716341904082,-27.408845873273886,2.2838695,-27.317194509824336,2.288061,-2.69877455324198,1.9383200743192455,5.375520739430566,-27.343509407987977,2.2444966,0.070376866,0.6666667,1.8064807442405537,8.879321952222359,6.859596645355307,0.7865966,0.99996364,-16.72103459805931,-17.02774749231629,-18.118551362668036,-19.55374628142169,-21.04058733130011,-22.67020712412429,-24.67423903823509,-26.02215669801561,-25.45414486615517,-25.358443642123024,-25.417066367036913,-25.612156591166183,-26.072163077489456,-26.45549575316217,-27.437493961860202,-28.084678171529927,2.943280547823756,3.6082872632013103,3.544467880167898,3.066283035818121,-16.88152456296195,-17.54690630044646,-17.725842576016525,-15.440636449566792,-17.525987214831098,-16.642913408539602,-16.699424726488605,-16.14410048834985,2.4777231072360175,2.1312324765727917,1.86292156623991,3.6315363582145563,2.042965119738897,2.684356330478245,2.7236897200268086,3.2758979175678866,2
285,2.1682420567902545,7.566701052569467,-22.293229318416316,-26.76324018752856,-30.464708522334565,2.1993947,-30.388368499712357,2.137783,-2.865307228134096,0.5685409258482274,6.3573487305278125,-30.40285356421558,2.1042774,0.065324254,0.6666667,0.20943188662559195,6.072401285785905,1.7802958455913982,0.0,0.997834,-18.979329712573275,-20.35590497994036,-21.0220205386328,-22.674018006916075,-23.822232184544962,-25.443146864214874,-26.373249989791827,-35.78303260312384,-27.726321834688466,-28.709075068685255,-28.329176825864426,-28.724602943305733,-28.826803379058365,-29.1911467133698,-29.07523614986126,-37.588136681288084,1.3623152267819978,1.5540983852470727,1.639968638166677,1.2887346353612934,-19.668599676290246,-19.88456753378665,-20.3467251090594,-19.950365624893017,-19.687183169923777,-19.907323104227874,-19.175788854429015,-19.029647851916867,0.776192019007286,0.34743038861417125,0.11533067754686337,0.21976987063203837,0.5118011619111522,0.43176272966908047,1.4159039429147369,1.0353541771111663,1
286,3.280461264950896,8.107950577508447,-21.060503276260544,-25.571123824927007,-30.341881802748418,1.8221352,-30.24890795028415,1.6934736,-2.6040188884434183,1.3168911465251492,10.179756239391912,-30.300450976372673,1.7092834,0.044468794,0.6666667,1.2267585365604075,6.698653762704261,3.85516732223124,0.39539698,0.99984103,-18.64061969797322,-25.044386528369422,-21.34913453211156,-21.492034226285547,-22.36557008852727,-23.366152153517827,-24.318836377370612,-25.747357836531922,-27.344755774654203,-33.303870779782464,-28.564464661568664,-27.48300333374991,-27.31917350130403,-27.088473321846543,-27.01019226178057,-27.615401560916393,0.9709710279544927,2.445938501274857,2.735025489191678,2.6663703663224507,-20.102007368506015,-19.76664137511797,-19.80011257615241,-21.03760563169773,-20.473367418260874,-19.607523222171416,-20.55861229721295,-19.234099082354792,1.8442056870388877,2.0572604567621102,2.008203573921792,1.287848960870404,1.44963270826756,2.077781247680837,1.0407328615713163,2.39229263636438,1
290,2.801111004470304,6.109078768516042,-21.99408713501015,-26.10691466869001,-26.298308982596176,2.64323,-26.187984955518278,2.5307472,-2.103030629377836,1.2389569308059993,3.9354149481237997,-26.21938703456444,2.5045161,0.13981676,0.6666667,1.2107207059413003,7.1823951200789375,4.55909158720016,0.66361696,0.9974224,-23.766317763248033,-18.748908382539803,-20.066756622440693,-22.048972066227822,-24.453748654010283,-26.38071797645212,-45.43470433293123,-36.99512156630458,-32.5085413112255,-27.111596168989102,-27.41700234541553,-28.1616125901041,-29.56085555432919,-30.239053540173174,-48.29212303826283,-39.28268990577666,2.4721076049171447,2.2818965944563905,1.197501927785579,0.8144556624427908,-18.429056792563436,-17.455191354210996,-17.478303389458933,-17.98995873818662,-18.307762525447497,-18.637514557348684,-18.428401034227168,-19.42165099473864,1.4640897795876484,2.3741433229684326,2.3274054432633124,1.8041164935962557,1.4560184810639072,1.1724035283513898,1.3949638380873373,0.5412148379278868,2
291,3.164684609244276,6.6581673879490735,-21.211232397966345,-25.778054810090264,-27.310041051406547,2.3312454,-27.235802457178977,2.2372675,-2.5878821452024163,1.2348206200926641,5.0801528368080735,-27.264801051936328,2.2220967,0.07186441,0.6666667,1.2192507991286337,7.347493689658056,5.278718762437712,0.8237543,0.9968923,-17.96447583583935,-18.427631934805888,-19.981333802002595,-21.475830917424965,-22.754791523672576,-26.205605075743314,-26.224492822615066,-41.81495718372804,-26.698653147716442,-26.762366482380845,-27.286734963635265,-27.541677148271404,-27.797084099368252,-30.00143048834536,-29.00181569137477,-43.918703656966834,2.5172350339048855,2.6681284671447676,2.550803769954502,0.7030351807165107,-17.97687144615677,-19.067130977206794,-21.093831166198008,-18.395177232300195,-18.178250595138138,-17.91234179326206,-19.35272679911363,-19.029441877254943,2.1969725636362774,1.3745241367678966,-0.6909610086293025,1.8685959980760918,2.1420835605958555,2.247077730077583,1.1158263444251744,1.3837073351148708,1
301,2.093117473360538,6.708254276939612,-22.430278817108213,-26.448990347001143,-28.308207746409906,2.6504521,-28.168722957950756,2.635523,-2.033284097220474,0.9476276804314373,4.280831598016495,-28.17739488764542,2.5697808,0.22125942,0.6666667,0.7482084970275024,6.57563523780378,2.5700777233464462,0.078214355,0.9746997,-18.403411067327358,-19.282049431820834,-20.544329160994245,-22.584007656897416,-24.4285912400794,-27.068177518052977,-40.75587435977967,-30.782470528357297,-27.168061788609954,-27.678134876340156,-27.90247476090622,-28.67750798298573,-29.484151756087016,-30.859092741363916,-43.50884970663835,-32.74732221815051,1.7296377301796684,1.633292894781083,1.2362247178601158,0.12120035095434847,-18.721160923737887,-19.274032872289915,-18.39301564338796,-18.08975867244814,-18.196935106219637,-19.200225982417436,-18.789706185290978,-18.89629531326327,0.9131522288531417,0.3322729529521978,1.2071394912757305,1.3945495304122804,1.2992968556604712,0.20587106097442945,0.5045859520789134,0.4500048536300985,2
302,5.377804519929861,6.135521881498831,-18.10713014081688,-22.598677690900406,-22.900422086993704,2.34918,-22.78520810790262,2.2374833,-2.188302362932503,3.112524685371228,5.07633944811978,-22.828344581201303,2.2173169,0.11192935,0.6666667,3.1014234745294003,10.167420086625711,9.58441841959673,0.9711829,0.9997974,-15.063119228443123,-15.411927638118444,-16.605885371133446,-18.28493128426872,-19.9637673146831,-22.426396838049552,-25.856631073041225,-50.58737389062742,-23.794912629195146,-23.7472873883929,-23.9218574540969,-24.367535631565218,-25.034660950283605,-26.25331692828371,-28.677611339242915,-52.80869993991368,4.904133448115223,4.885358544700133,4.361623947159068,3.2645977579486627,-15.793401454946874,-15.782678333247947,-15.99222403530098,-16.859268441041802,-15.809327804026987,-15.145838953361004,-15.135273524621683,-14.328245633339344,3.8265562334835086,3.7163938420088996,3.5636352264822757,2.898757128523192,3.7185355819533084,4.085519342060424,4.062688265552335,4.6740039261619835,2
303,3.222746045891704,7.348017484312005,-21.024447067763894,-25.765991405106956,-28.858740313984484,2.0401638,-28.766004599884948,1.9038954,-2.4136231845151976,1.3435937280627817,7.884971876705952,-28.791250596973313,1.8614079,0.10159296,0.6666667,1.491135724541512,6.844192068740898,2.697984107548799,0.09274889,0.9995326,-23.223713202536153,-19.316998001960993,-20.535451586006776,-21.382099578885988,-22.45079728334557,-23.60425062694893,-26.519326636151934,-41.29298451427716,-31.936905521852516,-27.601957611243918,-27.785641559349315,-27.40557685145016,-27.447227433327534,-27.36541381671447,-29.260271094968587,-43.32038544189332,1.9725399598141882,2.6892496960255055,2.724852935686042,2.471276535033595,-19.40017285662302,-19.656899399919226,-19.173285318118086,-18.96445786062627,-19.028389888659795,-19.21697765975775,-19.357116098601974,-19.029071017581817,1.8509732290159704,1.4499912607865073,1.9764449711989052,2.043392815386815,1.9223745491501296,1.8295239684418814,1.6682774587822626,2.0387435692837164,1
305,3.5417446098226035,6.925904039394133,-20.08730496473311,-24.34996506100653,-26.6312192491042,2.627819,-26.447565507141878,2.6598241,-1.84699103475076,2.064751113796218,4.834026906029486,-26.46954458194073,2.5695088,0.24590252,0.6666667,2.0087377475777197,8.412448264022848,6.990645927419802,1.1002387,0.9999697,-16.660308075611947,-16.94918966642352,-18.2473564419014,-20.24997336863338,-22.341325877065817,-25.0081736774281,-40.64408648704965,-29.847012501348473,-25.392175050359917,-25.29276039269542,-25.58480607931613,-26.35967914438975,-27.45336821302791,-28.877082050173872,-43.51973350500801,-32.17574335450187,3.0760502764414253,3.104138188471233,2.493279016806447,1.3643317276612765,-17.236730588339437,-15.26675815978618,-16.047936514328086,-18.267929994099784,-18.959129711807634,-17.810346045057088,-16.418951809992354,-16.054908679548593,1.6936829981096833,3.6156975256398995,2.933278979162936,0.8344648683850687,0.06588592220380189,1.2183884939539937,2.5178017250289737,2.918911706407131,2
308,3.83724687164261,8.202407731456665,-20.035547717102766,-24.527091245041607,-29.518927278741042,1.9886951,-29.490277911243574,1.9705921,-3.9907464046053223,0.7441494676089675,8.997821305410449,-29.487685957575877,1.9428653,0.027281975,0.6666667,1.0450877701080745,7.986444923152291,3.3377039320248585,0.14599109,0.9999802,-22.69353281962552,-17.978059935806552,-19.189473393627566,-20.492522501283897,-21.490592954443233,-22.543388564964076,-23.691161728878303,-25.457417261162284,-31.43217524408326,-26.31057727314929,-26.47195151370438,-26.522454748999014,-26.47048592326392,-26.27073565916515,-26.368469590490545,-27.178824362599578,2.4166412692981005,3.01439515306164,3.2794291407187126,3.2001591997601655,-17.52519315298689,-17.841133928613708,-17.675669618986372,-17.53331060429067,-17.52220162113037,-17.575185421867694,-17.62333999262861,-17.747338671234225,2.5189184745725948,2.471051979348945,2.647987528925515,2.702758271953731,2.7740890372061084,2.5674424529581112,2.504703258944813,2.5623939894577297,1
312,2.526634553848271,7.9631646158995775,-22.10125613245554,-26.593096284384302,-31.108973869478202,1.9899724,-31.079268502216383,1.9743693,-3.94123633985057,0.2701881166215921,8.622928062994141,-31.084083429015788,1.9504815,0.0224474,0.6666667,0.0,5.992271421497272,2.8967038897887476,0.28900188,0.99954075,-25.43519845858605,-20.907495205012747,-21.104729399198703,-22.490995877554802,-23.71420752880494,-24.81487510585983,-25.308349361999216,-26.98522400317984,-34.173891661328675,-29.240138579992802,-28.38735826102918,-28.52105412832613,-28.694251288225896,-28.542348258496634,-27.98580814466478,-28.707152558588305,1.4740448505829205,1.8725373362228197,1.8104828463597242,1.7527176112340213,-19.872292269785483,-20.683119607523892,-19.49647500155278,-20.359934643361523,-20.08299185256249,-22.780789320540638,-20.266370300380498,-19.36427613845857,1.1981073235992021,0.18840359875183302,1.535058238239759,0.8764800543818935,0.6797723188156716,-2.38879706323825,0.4164272914957147,1.8198483047624396,1
318,2.7040832096527576,6.220854667920287,-22.33178547112707,-26.248865357020655,-26.778956079460368,2.7253609,-26.630774052300143,2.6854253,-1.9616453505544305,1.3548896552460292,3.7838189288519914,-26.656740948941625,2.617745,0.19803242,0.6666667,1.265906864923675,7.195808357602617,3.611376456145731,0.34870806,0.999269,-17.92608580682421,-18.432366042891832,-20.385292829758814,-22.275988129348793,-24.862680748090916,-26.962748568117124,-40.38282271979318,-36.88828520393173,-26.670473465219935,-26.80348944033759,-27.749860129534056,-28.404011336122686,-29.99092829249737,-30.841595100616168,-43.26565724761317,-39.220044976516384,2.2775779878446536,2.1445596394078508,1.1852925732783621,0.33340819408636807,-18.2522633871526,-19.001285185935025,-19.029851419095536,-18.94113288208232,-18.559166333367916,-18.584972293132594,-17.80500544365344,-18.099956999072013,1.4315101084504072,0.9419256887915991,0.9743223988678644,1.002144178780329,1.2633657773636726,1.185796808783414,1.928328365691618,1.7908133742637453,2
319,5.044723048435145,6.654581088128671,-18.553966738118124,-23.218014601843116,-24.90669738328651,2.0751011,-24.84147627709818,1.9909561,-2.8440080781174486,2.3481587564334676,6.732288891730087,-24.875617782693027,1.9875683,0.04311852,0.6666667,2.3717448572202957,9.455256373915967,6.910213155926342,0.37257105,1.0,-16.55842666657187,-16.667210708436098,-17.64238423692533,-18.87080176513285,-20.05715922282573,-21.583120679763702,-23.195637141044486,-26.410923577534078,-25.286048674547594,-24.982645103769666,-24.920329448771486,-24.910147410090246,-25.0639273097758,-25.345897357300313,-25.930401862708155,-28.388469106025127,4.3173602367080735,4.559969838410152,4.365228697451146,3.8108439682099045,-16.637775326059398,-16.164670229461283,-16.293339983620747,-16.101135036558237,-16.91408015514135,-16.73303837330776,-16.04500287788786,-16.33959113102257,3.5663230980672,3.8996463913964625,3.7734609311495895,3.938645368680497,3.2587142547926558,3.374984773674058,3.8914523067513898,3.7527152876857395,1
320,1.918735967059858,6.818565531064457,-22.345997166625008,-26.569999381844497,-28.628503465220355,2.4949648,-28.44674324504244,2.4670434,-1.8451151203910654,1.0869670115380428,5.340646464816693,-28.459412148821244,2.3928857,0.24511173,0.6666667,0.9509991646004162,6.469531610562305,3.2835868436272015,0.52293426,0.0,-18.81731239668769,-19.13362016802872,-20.567243278502186,-22.30420779388721,-25.17449501041377,-26.234831360939083,-35.97640844456216,-38.215391075504776,-27.575915954421685,-27.515149213439262,-27.908147149888194,-28.38315176442583,-30.21281370671846,-30.011190154115738,-38.71214212207517,-40.128497856989895,1.6461115132297908,1.7734342265858825,0.3113561540733055,0.622190478105956,-19.920745535401824,-19.806323844395155,-19.022277760258927,-18.162081700802972,-18.876968673566157,-20.349290335490824,-17.84474623530448,-19.525907034318518,0.24279084853019775,-0.06586634474913562,0.8265155709991953,1.5095769213474126,0.7551993870183262,-0.32952751549638254,1.7050871093339501,0.27451438595410405,2
323,2.8883747652329816,7.625898245682904,-21.69791396585957,-26.445717623743086,-30.081181818643024,2.0050452,-29.984300209238505,1.8642792,-2.285582263830282,1.1682348951636754,8.293061977523879,-30.002399743135683,1.8044925,0.13491113,0.6666667,1.2360272471459013,6.304410300766725,2.5479323866191796,0.0,0.9990996,-18.465774839552413,-20.720443999694083,-21.247285047298163,-22.13425195353611,-23.06545250043003,-24.23732024307042,-26.82601597496021,-39.471541036784586,-27.17211522189039,-28.990416841863333,-28.482894519620135,-28.14845082058618,-28.054230743901783,-27.99490410644332,-29.565953188701535,-41.50864559845019,1.4412397440606102,2.307782724441752,2.4856647718409635,2.185953504267928,-20.16683350144006,-20.331792292214622,-20.155823970648356,-20.56831470198313,-20.662228266945075,-20.04440253728661,-20.222096448430776,-20.22061312682019,1.3443251041282107,1.4620122438845344,1.5294173059186142,1.185002856188534,1.1785475921740853,1.5309179289648562,1.3178107284706564,1.5904991144293332,1
325,4.256367318646372,6.319198807855223,-19.842511509633336,-24.351447824838306,-25.09734684190768,2.350551,-25.024564017586084,2.2545488,-2.5387499294683993,1.9256114604553531,4.70741797212606,-25.057501396850697,2.2489245,0.06913465,0.6666667,1.9190963361666087,8.716590949764877,7.1512889712470855,0.76530045,0.99959505,-16.39535725445505,-17.192471984902767,-18.442698166932903,-20.03164196007332,-21.638488813617222,-24.041958893450552,-25.422367679206005,-35.738715899067955,-25.13163055665339,-25.533053343933627,-25.7559925304457,-26.104829611416694,-26.690271133571745,-27.84640864276008,-28.210458730055514,-37.870218412590916,3.738899374170083,3.748368446714036,3.344368593091161,2.321996244514431,-15.867294425566886,-16.8888992835122,-16.607042499973815,-18.21464186945562,-18.257999230485364,-18.657389921687788,-17.303719931499653,-16.38479256630117,3.882178679640547,2.986010525658831,3.208583862331834,1.8164045675497151,1.7835657988442193,1.4319855776006885,2.5969603712123934,3.398306689792713,2
326,3.057384179298267,6.372961704994565,-21.596147643293577,-26.03980063787307,-26.885400325327712,2.4346988,-26.78790513026048,2.332801,-2.330319151094282,1.3007757966037878,4.662160824643459,-26.82030945692744,2.3054316,0.1052051,0.6666667,1.3074198624910456,7.230616881147684,5.126104900281494,0.86603665,0.99620146,-18.478241751685903,-18.778243162198226,-20.122095751593907,-21.65474439041797,-23.725967535566525,-26.021190976707143,-37.84674140693785,-35.721362248924535,-27.214211687729787,-27.12129376700491,-27.44313067996234,-27.738279439854093,-28.794255546897727,-29.84298278825914,-40.658677699376526,-37.91611631548843,2.5414094979299797,2.6665482573453154,1.938782797084507,0.9407888690362561,-19.57795241920856,-18.623927547238612,-19.016834366668625,-18.183417176413105,-18.99186065954152,-21.338342389223225,-19.87859486151045,-18.390215551799596,0.7140656431877082,1.7426072724459325,1.3120100812255175,2.0114621634244134,1.2887207698713314,-1.1675047377573244,0.3902622856702354,1.8599035389308909,2
327,3.6569323619270446,7.050142814946035,-20.388047171431527,-25.057500824851093,-27.469926430184575,2.2274601,-27.385728672343927,2.1440096,-2.5566512839033058,1.5811107809745921,6.12181578213745,-27.421016787382978,2.131068,0.067620836,0.6666667,1.5386425674673991,7.898518402315518,6.195238166699779,1.0150174,0.9999032,-18.951463413950478,-18.436529548104208,-19.304231746435796,-20.65755801944979,-22.040533508433846,-23.601392952002076,-25.487861199255065,-41.03407107391441,-27.679039830368254,-26.755302270338895,-26.59140820470633,-26.70889561403844,-27.066517446800336,-27.38427964719176,-28.25089942682356,-43.105706052702885,2.8268817004194573,3.1834275464529673,3.018110316968784,2.613993704662016,-18.5987872923551,-18.110471727201855,-18.361389446286623,-18.834372428010244,-17.90035741066294,-17.94543455832345,-18.62513885395286,-17.75272430996877,1.6492877243328568,2.228899538675339,1.9763617843372805,1.5802393949373634,2.31105059364232,2.278744535247687,1.8645005905971366,2.4953766358687206,2
330,3.628313564947706,7.39108170187082,-20.56890583617117,-25.06682427230377,-28.390753839346154,2.0986667,-28.34759312805295,2.0686543,-3.4782160164567664,0.9302940659250468,6.278819878685777,-28.3519687734903,2.042548,0.036726777,0.6666667,1.1210954703927822,7.630465533619162,4.444343001153598,0.379281,0.99971163,-17.485247906916324,-18.504716840077666,-19.556744927077006,-20.905866260107853,-22.013964043522755,-23.429152529815628,-24.803095161321895,-36.150369729784536,-26.228254604827786,-26.848051269357367,-26.852157431794556,-26.946615577789228,-27.006791368714282,-27.167316867189612,-27.493337422500222,-37.91607250789949,2.772669542872021,3.0902208289356365,3.069929069713358,2.5601355258435152,-18.529466226234074,-17.539312978887263,-17.756746535761,-18.304016803673793,-18.287023343929054,-17.95715178494335,-18.148415312636008,-18.32866677046373,1.864121574121126,2.7478947894056565,2.5768912767785617,2.1460901268190296,2.121559959579153,2.3658489614411122,2.0642781155059664,2.137832971453531,1
331,2.3524158584072947,8.969293673959758,-22.804313708082887,-27.095513318651065,-33.52461309622435,1.6899698,-33.49308247473404,1.678704,-4.098698245763554,0.0,18.65022838523774,-33.457017327316585,1.6175748,0.046242874,0.6666667,0.0,5.034515934850277,2.946374683428896,0.41812518,0.99941653,-29.81235028702094,-21.039986576596352,-22.44931465572348,-23.242735628122414,-24.451393544201334,-24.9778995731446,-25.316550103402808,-26.442482534578247,-38.5390886411826,-29.342817706965103,-29.696225699192325,-29.242981639819792,-29.395719400985644,-28.675560569458792,-27.9582909131444,-28.038467183062313,0.5045081459525235,1.3851701819131492,1.4957807582701161,1.6791952748468526,-22.747482198366374,-22.032760172289077,-21.062187987576973,-21.47296578130527,-20.96135045097968,-20.754475502175218,-20.146457620880934,-21.361947269598392,-1.0651109549702664,1.202073619278963,1.505592590453434,1.276183787344702,0.5230376068281736,1.499523527263099,1.612156001579669,1.0052716750667052,1
333,2.6353321855879646,6.472723039597742,-21.931336258383595,-25.955353332246215,-27.188816768413858,2.6467783,-27.094944440406415,2.629173,-2.4646160239354287,0.9411763794906036,2.7735115463066418,-27.18518480289049,2.638918,0.0071407384,0.6666667,0.0,7.126889202471815,4.321730966558745,0.70797324,0.98203236,-19.225839196365868,-18.26794531769933,-19.92865864099237,-22.27415993755354,-24.313663689488404,-27.007571542713823,-25.866012785051275,-36.55769723378661,-27.990347647090044,-26.663690074364226,-27.286401378970737,-28.367319536305747,-29.36882138307768,-30.798146065940063,-28.6185853701555,-38.52136873004866,2.3923304738360534,1.9032898530457545,1.3556578282288148,-0.34502523568178395,-20.025547922118662,-18.596641673874917,-19.039293235353124,-18.855703767538582,-18.922744415398185,-18.440393449751365,-17.82587601786354,-17.25678306131201,-0.4413067273412948,1.179531112496122,0.524946501582645,0.6862228927944709,0.6523337318191192,0.9653225551612852,1.6021295866855547,2.1310537296696097,2
336,3.734835845033165,7.079863860434879,-20.337323463308078,-25.130190019208406,-27.605460392450617,2.079746,-27.50915398710149,1.9215286,-2.211379507340802,1.7366241546009518,7.438019051865499,-27.555345901112876,1.936709,0.08335209,0.6666667,1.6525608098459066,7.5061923596537845,3.558761714056218,0.20147334,0.9994983,-17.768468909382023,-19.32687443561762,-19.55483750273882,-20.658222659980545,-21.86114364112748,-23.521073564863798,-25.078015756740076,-26.89231128884216,-26.479761804396297,-27.610671485816887,-26.809163330109232,-26.689681702245892,-26.872313551410404,-27.298726027544525,-27.842993490107354,-28.99722350292008,2.854723325772598,3.2991576913283143,3.1496607770818756,2.4884599980207702,-18.275219447076598,-18.3129435155431,-18.956613836946342,-18.711726527996785,-18.36809689067221,-18.501248871831294,-18.904427682423705,-18.23216375142251,2.574924827812444,2.485967605762138,1.9926842649349104,2.063912051720712,2.436847817461135,2.1912378570153934,1.9612774330843972,2.5403241398644054,1
337,3.8649600348008173,7.83446660735486,-20.2510348151822,-24.71649130563803,-29.00758445737092,1.9143653,-28.974633606769864,1.8934261,-3.9820666788140837,0.7717513155222279,10.692125737459744,-28.972384100814974,1.8647388,0.025479095,0.6666667,1.104949168169264,7.72700862829569,5.821950028968402,0.7662553,0.9998014,-17.95555702530398,-18.53962394203469,-19.519830397769894,-20.73159571591278,-21.667806588521568,-22.609822994574145,-23.632350685107657,-25.80673749968911,-26.69124319309964,-26.864790179744066,-26.793509541134647,-26.754176789908254,-26.638900544319895,-26.3298190087928,-26.300859571546958,-27.497545185778964,2.74362272344828,3.168748104276391,3.262329728850793,3.15235699134117,-18.45782736354385,-18.192420318068372,-18.65774740833537,-18.793803559618354,-19.098883402483345,-18.885456730984753,-18.913959008300917,-17.838688649130205,2.4126305476480217,2.5071618040159964,2.0990299012171887,2.1215988183252157,1.7705292697091701,1.7389877741038589,1.866660487366158,2.7488623689140272,1
338,3.4225487763190214,6.603733368851879,-21.005505108349425,-25.328963962269953,-26.842679580453538,2.4031923,-26.793975343347135,2.3824978,-3.265139054427841,0.9292562352947263,1.5961212377984069,-26.8163692115708,2.3707516,0.030038582,0.6666667,0.725023925363724,7.727217791412612,5.790417650335435,0.8799592,0.80332947,-18.26341504794871,-18.147424215256414,-19.40633855904252,-21.34743896685351,-22.708815371368647,-24.370484503531866,-27.156334703340253,-39.42429389280349,-27.018428394895746,-26.52023750113761,-26.736890707402914,-27.417667015935358,-27.73678254548058,-28.138127572697723,-29.881716680086985,-41.30517082420274,2.990567017163548,2.7936438798389984,2.523914790186025,2.0160046702782024,-17.865476197748535,-16.45478185741194,-17.798511401248483,-17.88303259859739,-18.542246522195178,-18.090903607868604,-18.088079738035354,-18.07831972825095,2.1094006866197765,3.2954097406331493,2.184393896811496,2.096238485431593,1.3469042515245053,1.6919391023323302,1.8197306131605888,1.850185082553483,2
340,2.749801683514725,7.842529022744888,-22.10559363528816,-26.789140531089114,-30.935032423830712,1.9070705,-30.803341247389223,1.7490182,-2.214153425095227,1.1537069819082313,8.991229876946136,-30.853072527639593,1.7174932,0.102895185,0.6666667,1.1300075266062637,5.771959680244817,2.73932978731758,0.03718294,0.99994475,-18.96787219665433,-27.046769267240784,-21.953503256002126,-22.483029113057544,-23.64854434697986,-24.30461889919929,-25.919100067361786,-41.17499036368466,-27.665725071252446,-35.29681183050693,-29.167202098879816,-28.480760111304022,-28.619873184398354,-28.049550916723604,-28.646323829050676,-43.18687246448342,1.1264723740475155,2.1129681217677496,2.132382077529302,2.2577628286821256,-20.505942733128162,-20.62646293445184,-20.19855627661529,-20.42214619310153,-21.145163181280793,-21.176407113741558,-21.17217163848397,-20.445326146356734,1.3313090487333188,1.8239211772000734,2.038023549141232,1.6251656504529266,1.3193899657081036,0.6642644389386941,0.46797749368907204,1.5975780628860516,1
345,3.277104430293241,6.998207678856025,-20.7662713594631,-25.430930206006842,-27.660000902831833,2.352834,-27.564267456272862,2.2357516,-2.192872715438601,1.4610862921775292,5.941932069992455,-27.590601122199786,2.210037,0.12551114,0.6666667,1.4859019755286207,7.575973293975261,5.850354508959909,0.99932146,0.9981054,-16.99989502980421,-19.162699530713937,-19.395024432780335,-21.06846742858475,-22.518729033176353,-24.408046281282303,-37.97449050536093,-36.5122563845657,-25.724010160111938,-27.47891783552221,-26.688390500421363,-27.132468733744545,-27.568198953464208,-28.217398686404998,-40.775798704514344,-38.69601292835161,2.602569162005149,2.8132661292814034,2.6951599494541365,1.9617095411982246,-18.181178667287174,-19.821711007695885,-18.477652606333084,-17.588935497349347,-17.194610408554272,-18.174039945756814,-18.1147293093958,-19.665099751022453,1.7536378464235376,0.36650902363391447,1.6967990042164969,2.405811690171184,2.5237383685139236,1.6975964656253633,1.749227303667208,0.6430634298287021,2
349,4.055293082747992,6.955701277420109,-19.84935122328403,-24.376460282689425,-26.625164452718888,2.310125,-26.552835096981134,2.2946575,-2.858275420640004,1.70639745855839,4.387549107710402,-26.564196408051362,2.2534633,0.07559359,0.6666667,1.757021878513937,8.637105035107599,6.269648971855116,0.57976186,0.99951553,-20.561411391784794,-17.134939626547034,-18.575520701369353,-20.094676279619975,-21.47742203129604,-23.446214771149755,-25.61752250530832,-47.802953899522684,-29.299915102230035,-25.47722771357811,-25.88507586236041,-26.160023219282508,-26.514541438813943,-27.233963100367305,-28.38115837102969,-49.85695098460818,3.305083128321292,3.611723417160719,3.428150576144723,2.588789118258228,-16.761401770592595,-16.323367531105767,-16.792490395139712,-17.28857936808317,-16.388068683619945,-17.32072942269624,-16.347773075950762,-16.88981929077581,2.9087640017144225,3.2360371412115865,2.903014993164194,2.34471208280539,3.0405127923972155,2.333418339785519,3.122695454546187,2.884385570575654,2
350,2.8815294462962138,8.033896771195987,-21.870743254593744,-26.40278892454819,-31.02949082108499,1.7700862,-30.891180812799323,1.5591315,-2.0505471931484824,1.2446510125094312,9.74714527290748,-30.9250638503499,1.507016,0.14729014,0.6666667,1.3387492964922167,5.540575818532594,2.5280300739861876,0.0,0.99907917,-27.521931600107933,-21.108384373700353,-21.773873749446828,-22.55829330479221,-23.026933136745367,-24.085034097471887,-25.14194451673976,-32.994026042304284,-36.20485519447399,-29.32458266578874,-28.951845772547003,-28.530599659888075,-27.973293332556516,-27.81381387355993,-27.855486047913573,-34.9902661763939,1.1724274456171397,1.9983855832888027,2.466398945778723,2.325089491656459,-21.72383809725089,-20.93884344956565,-20.847495572444007,-20.879149651666253,-21.83900038245908,-20.855570437072274,-21.23613627755103,-21.08788784483348,0.7772444566574791,1.5972504705554618,1.5339770234304635,1.7084513665272354,0.9071572946361114,1.6515273224380673,1.6612529117591552,1.244672736343156,1
