,y_probs,classes,bin_n_ascending,bin_n_descending
384,0.32863918625057653,1.0,3.0,71.0
385,0.5164649555806777,1.0,14.0,60.0
386,0.98235503876549,0.0,56.0,18.0
387,0.6581177590034691,0.0,28.0,45.0
388,0.5625709748355898,0.0,18.0,55.0
389,0.4351244729550068,1.0,7.0,67.0
390,0.5005797653372963,1.0,13.0,61.0
391,0.986138057801415,0.0,59.0,15.0
392,0.9881086542262264,0.0,60.0,14.0
393,0.9947805541867802,0.0,69.0,5.0
394,0.9181569486420156,0.0,43.0,31.0
395,0.9920333043883848,0.0,64.0,10.0
396,0.9141959126253404,0.0,43.0,31.0
397,0.9930968397777928,0.0,66.0,8.0
398,0.6950101831157627,1.0,31.0,43.0
399,0.9406310832962425,0.0,46.0,28.0
400,0.9837105733483968,0.0,57.0,17.0
401,0.9916938728599012,0.0,63.0,10.0
402,0.850893589736792,0.0,38.0,36.0
403,0.9961414161579109,0.0,72.0,2.0
404,0.5281942194412064,1.0,15.0,59.0
405,0.7837556722436787,1.0,35.0,39.0
406,0.6739267542209784,1.0,29.0,44.0
407,0.5990129930228733,0.0,23.0,51.0
408,0.41306349953470706,1.0,6.0,68.0
409,0.9970846585072916,0.0,73.0,0.0
410,0.8871461081448023,0.0,40.0,34.0
411,0.1905126893568992,0.0,1.0,72.0
412,0.749664072257503,0.0,33.0,41.0
413,0.5794622241194349,1.0,20.0,53.0
414,0.9292242461252296,0.0,44.0,29.0
415,0.9937436875240632,0.0,67.0,7.0
416,0.2416289669186695,0.0,2.0,72.0
417,0.7379158316206861,1.0,33.0,41.0
418,0.5490901743601232,1.0,17.0,56.0
419,0.6414822759669027,1.0,27.0,47.0
420,0.9250767905783168,0.0,43.0,30.0
421,0.5993977549333204,1.0,23.0,51.0
422,0.1040204118562053,0.0,0.0,73.0
423,0.601612006968107,1.0,23.0,51.0
424,0.5715238520921749,1.0,19.0,55.0
425,0.5408760401349728,1.0,16.0,57.0
426,0.9693093453520116,0.0,50.0,24.0
427,0.4944289230321137,1.0,12.0,62.0
428,0.9024735640712476,0.0,41.0,32.0
429,0.8111080287939251,0.0,36.0,37.0
430,0.9280551684014228,0.0,44.0,30.0
431,0.9918502788871282,0.0,64.0,10.0
432,0.575875352380951,1.0,20.0,54.0
433,0.5869853092625537,1.0,22.0,52.0
434,0.9181833990245198,0.0,43.0,31.0
435,0.9844188514815848,0.0,57.0,17.0
436,0.96330341014548,0.0,49.0,25.0
437,0.5639366322151116,1.0,19.0,55.0
438,0.6379541688097198,1.0,27.0,47.0
439,0.9858395024751092,0.0,58.0,15.0
440,0.5594536538339433,0.0,18.0,56.0
441,0.996155104159465,0.0,72.0,2.0
442,0.8878048463150889,0.0,40.0,34.0
443,0.5414647306736748,1.0,17.0,57.0
444,0.9781955143428848,0.0,54.0,20.0
445,0.953263973198508,0.0,47.0,27.0
446,0.9599654295968164,0.0,48.0,26.0
447,0.4997360806601145,1.0,13.0,61.0
448,0.993786982781456,0.0,67.0,7.0
449,0.4607272006234849,1.0,9.0,65.0
450,0.45898491517314444,1.0,9.0,65.0
451,0.559165459970488,1.0,18.0,56.0
452,0.9939586697249612,0.0,67.0,7.0
453,0.5477684472551275,1.0,17.0,57.0
454,0.9342251276609764,0.0,45.0,29.0
455,0.991918636361792,0.0,64.0,10.0
456,0.5021461776056181,1.0,13.0,61.0
457,0.7175820352497012,1.0,32.0,42.0
458,0.9951589687396188,0.0,70.0,4.0
459,0.9892610116247708,0.0,61.0,13.0
460,0.9106334471602076,0.0,43.0,31.0
461,0.7626537867094434,0.0,34.0,40.0
462,0.7110243616990881,1.0,32.0,42.0
463,0.9918986077853692,0.0,64.0,10.0
464,0.6387022059901171,0.0,27.0,47.0
465,0.9732189473409326,0.0,52.0,22.0
466,0.6410504126676809,1.0,27.0,47.0
467,0.6780199627983061,0.0,30.0,44.0
468,0.9540864032635784,0.0,47.0,27.0
469,0.9615199027343284,0.0,49.0,25.0
470,0.995988423349126,0.0,71.0,2.0
471,0.9874753388148472,0.0,59.0,14.0
472,0.586267424759099,1.0,21.0,52.0
473,0.7069523050116943,1.0,31.0,43.0
474,0.9608553749579488,0.0,48.0,26.0
475,0.6579997376861915,1.0,28.0,46.0
476,0.9815179015407518,0.0,56.0,18.0
477,0.995413566672687,0.0,70.0,3.0
478,0.4849586571258826,1.0,11.0,63.0
479,0.3705372824438356,0.0,4.0,70.0
480,0.1822382688684731,0.0,1.0,73.0
481,0.4944425923594827,1.0,12.0,62.0
482,0.8005053090832666,0.0,36.0,38.0
483,0.4494639416612661,1.0,8.0,66.0
484,0.952439717029498,0.0,46.0,27.0
485,0.7087835847708288,0.0,31.0,42.0
486,0.4799868393482898,1.0,11.0,63.0
487,0.9469050086911204,0.0,46.0,28.0
488,0.4869612274610713,1.0,11.0,63.0
489,0.5501905397785621,1.0,18.0,56.0
490,0.3084607045943258,0.0,2.0,71.0
491,0.9446358796148818,0.0,46.0,28.0
492,0.9949842813439852,0.0,69.0,5.0
493,0.5116303218394969,0.0,14.0,60.0
494,0.4321462112008781,1.0,7.0,67.0
495,0.9973269737327068,0.0,0.0,0.0
496,0.7364682952945077,1.0,33.0,41.0
497,0.9950546078330598,0.0,69.0,4.0
498,0.9560602311178388,0.0,47.0,27.0
499,0.9244726841871092,0.0,43.0,31.0
500,0.9741515606401135,0.0,52.0,21.0
501,0.9131332038057792,0.0,43.0,31.0
502,0.5959544366207447,1.0,22.0,52.0
503,0.5926664377356711,1.0,22.0,52.0
