,CLASS,sum,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,AVG
0,0.0,6.334108537690969,0.1082577930108728,0.9722410743963106,0.98957784831755,0.226836647626918,0.3100861627968048,0.7300466741288875,0.0752308818807793,0.9438004614709004,0.986475616582444,0.9915553774795008,0.6334108537690969
1,0.0,5.725270188566953,0.9682070807675348,0.1641088297673398,0.0591197637078232,0.9427256949150242,0.9928285127954272,0.9962071318377648,0.2706082039431881,0.0552022725723714,0.9276275672334876,0.348635131026992,0.5725270188566953
2,1.0,3.609055428704136,0.2686051428798103,0.133414818173026,0.9942150866660018,0.041289717378031,0.9930749217459,0.2889994015258071,0.0864966963217285,0.0295858211771103,0.395457899634151,0.3779159232025692,0.3609055428704136
3,1.0,6.7794243178221345,0.9773672647984224,0.9924295427113188,0.7750030172913435,0.0834797670160261,0.9965079903324524,0.9974121386340472,0.9344883795829788,0.028851208708956,0.985974607871628,0.0079104008749619,0.6779424317822135
4,0.0,6.791198706336069,0.0396453763043995,0.991355496641126,0.9986710445964228,0.0912978019716116,0.9965057148123504,0.9850521596668484,0.8250379293036998,0.8360340651722129,0.0419153359431944,0.9856837819242036,0.6791198706336069
5,1.0,4.85497280968615,0.164426978511219,0.0361051651028579,0.0552889665663432,0.0184337799923639,0.9753507617256464,0.9102642184465302,0.9393888546330657,0.0651407606265631,0.9864341817138,0.7041391423677605,0.485497280968615
6,0.0,5.749483247274021,0.5802808059662816,0.9916580330293202,0.886085382848514,0.5889247450430745,0.2207163722153953,0.4072755038648334,0.0373073530830541,0.979227152294537,0.0602559636628175,0.9977519352661948,0.5749483247274021
7,0.0,6.983152916748699,0.9748956061696388,0.0700147939206769,0.0635478245323096,0.989490798001618,0.6956764927224506,0.955075866208358,0.5088513796459606,0.9751247962292924,0.985752574064712,0.7647227852536819,0.6983152916748698
8,0.0,3.6102166072233706,0.1433020473434529,0.0103412368428665,0.9839799494027004,0.0315047783460511,0.9869905455932008,0.036041064951809,0.1300165461315325,0.0702126018742101,0.2351709462255795,0.9826568905119684,0.36102166072233705
9,0.0,8.226915943199714,0.1975757484708684,0.993316889197074,0.995798223721836,0.9817464219372304,0.9970547372902204,0.7011468515323196,0.9848433790758484,0.4629044058611872,0.9815951430357002,0.930934143077428,0.8226915943199714
10,0.0,6.812590741095441,0.0621557447669995,0.990541108099451,0.8891198876650825,0.925519902161408,0.4916107021502786,0.6021289113819583,0.9938628663178108,0.7166449675894293,0.965221149292428,0.1757855016705955,0.6812590741095441
11,1.0,7.55681816965132,0.978660010225245,0.9298985205843062,0.9926583796088716,0.9036794898768676,0.959143703553603,0.780035031528154,0.0673204155178096,0.6354460106599746,0.9714641810673228,0.3385124270291649,0.755681816965132
12,0.0,3.626362472699526,0.1991780309407033,0.1891535014277326,0.2298470831953586,0.2757393095697667,0.9741878798794374,0.1041363978433757,0.0841063119646779,0.4290429516294616,0.1685200722350663,0.9724509340139458,0.3626362472699526
13,1.0,6.044312981557499,0.0609284387740426,0.6929505157866458,0.2978239825917458,0.045132325705589,0.9700556990987488,0.9755944416166752,0.9655793671162834,0.9702127836822262,0.9671552425464184,0.098880184639124,0.6044312981557499
14,0.0,5.094573897741196,0.3968239955075535,0.9955933141591868,0.4463353598026399,0.1150708197462439,0.1247622067195265,0.0918012819907988,0.932633807587259,0.9807217219245128,0.0172519634991255,0.9935794268043484,0.5094573897741196
15,1.0,5.871549198423303,0.6332813822381926,0.9866663866572593,0.9936578849348476,0.9944453479248454,0.9547039882103552,0.1205405181891733,0.0829915986696716,0.6602023305861515,0.1556837970313047,0.2893759639815019,0.5871549198423303
16,0.0,5.90389403106501,0.994218040040065,0.7392151242095691,0.9848909289781484,0.0497471886958689,0.9876624912171236,0.0767710003088953,0.0842938938341348,0.1964890628369346,0.9927720125636575,0.7978342883806127,0.590389403106501
