,Unnamed: 0,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0,0.019421437278374587,2.3,32.0,0.07197802197802193
1,1.0,1.0,0.019421437278374587,0.039231735721982616,0.7,30.0,0.02333333333333331
2,2.0,2.0,0.039231735721982616,0.05919235934857545,1.7,30.0,0.05666666666666662
3,3.0,3.0,0.05919235934857545,0.08512608141286679,1.4,30.0,0.046666666666666634
4,4.0,4.0,0.08512608141286679,0.12143868707284415,1.0,30.0,0.033333333333333305
5,5.0,5.0,0.12143868707284415,0.1753724815243418,0.4,30.0,0.013333333333333319
6,6.0,6.0,0.1753724815243418,0.25194176808168833,0.8,30.0,0.02666666666666665
7,7.0,7.0,0.25194176808168833,0.3536757718654139,2.3,30.0,0.07666666666666665
8,8.0,8.0,0.3536757718654139,0.4758972196092974,3.0,30.0,0.09999999999999998
9,9.0,9.0,0.4758972196092974,0.6122018279252859,4.4,30.0,0.14666666666666667
10,10.0,10.0,0.6122018279252859,0.7223622001715625,5.1,30.0,0.16999999999999998
11,11.0,11.0,0.7223622001715625,0.8123770983286104,2.4,30.0,0.07999999999999993
12,12.0,12.0,0.8123770983286104,0.8748657091928734,1.2,30.0,0.03999999999999998
13,13.0,13.0,0.8748657091928734,0.9206467268278992,3.2,30.0,0.10666666666666665
14,14.0,14.0,0.9206467268278992,0.9412937576190872,3.3,30.0,0.10999999999999996
15,15.0,15.0,0.9412937576190872,0.958846475924896,3.1,30.0,0.10333333333333332
16,16.0,16.0,0.958846475924896,0.9696661169201295,2.4,30.0,0.07999999999999997
17,17.0,17.0,0.9696661169201295,0.9776402287760723,2.6,30.0,0.08666666666666666
18,18.0,18.0,0.9776402287760723,0.9831640380813725,2.0,30.0,0.06666666666666662
19,19.0,19.0,0.9831640380813725,0.9872203272140873,2.1,30.0,0.06999999999999995
20,20.0,20.0,0.9872203272140873,0.990100908673013,1.5,30.0,0.04999999999999996
21,21.0,21.0,0.990100908673013,0.9923103682220902,0.5,30.0,0.01666666666666665
22,22.0,22.0,0.9923103682220902,0.9939891725165593,1.7,30.0,0.05666666666666664
23,23.0,23.0,0.9939891725165593,0.99560825466893,2.2,30.0,0.07333333333333332
