,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0168794352243761,1.0,26.0,0.038461538461538464
1,1.0,0.0168794352243761,0.0342510853828728,0.0,30.0,0.0
2,2.0,0.0342510853828728,0.0520366035077402,1.0,30.0,0.03333333333333333
3,3.0,0.0520366035077402,0.0746499381935859,2.0,30.0,0.06666666666666667
4,4.0,0.0746499381935859,0.1106958763946543,2.0,30.0,0.06666666666666667
5,5.0,0.1106958763946543,0.1527039976182163,0.0,30.0,0.0
6,6.0,0.1527039976182163,0.2673951680365265,0.0,30.0,0.0
7,7.0,0.2673951680365265,0.3896271168946845,5.0,30.0,0.16666666666666666
8,8.0,0.3896271168946845,0.5492526061186169,3.0,30.0,0.1
9,9.0,0.5492526061186169,0.6477566043467806,2.0,30.0,0.06666666666666667
10,10.0,0.6477566043467806,0.7412232546873747,7.0,30.0,0.23333333333333334
11,11.0,0.7412232546873747,0.8156432202148413,2.0,30.0,0.06666666666666667
12,12.0,0.8156432202148413,0.8839354678020193,0.0,30.0,0.0
13,13.0,0.8839354678020193,0.9184194963246076,4.0,30.0,0.13333333333333333
14,14.0,0.9184194963246076,0.941668569209842,3.0,30.0,0.1
15,15.0,0.941668569209842,0.961166365360012,3.0,30.0,0.1
16,16.0,0.961166365360012,0.970037381775692,2.0,30.0,0.06666666666666667
17,17.0,0.970037381775692,0.9765261667771296,2.0,30.0,0.06666666666666667
18,18.0,0.9765261667771296,0.9825073526199258,3.0,30.0,0.1
19,19.0,0.9825073526199258,0.9869585552645485,2.0,30.0,0.06666666666666667
20,20.0,0.9869585552645485,0.9907948845407166,2.0,30.0,0.06666666666666667
21,21.0,0.9907948845407166,0.9927701959861522,0.0,30.0,0.0
22,22.0,0.9927701959861522,0.9947302655596651,2.0,30.0,0.06666666666666667
23,23.0,0.9947302655596651,0.9959132388899168,3.0,30.0,0.1
24,24.0,0.9959132388899168,0.9971926757222772,2.0,30.0,0.06666666666666667
