,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.009537409910871,1.0,26.0,0.038461538461538464
1,1.0,0.009537409910871,0.0317162105922103,2.0,30.0,0.06666666666666667
2,2.0,0.0317162105922103,0.0563402671911292,1.0,30.0,0.03333333333333333
3,3.0,0.0563402671911292,0.0802339511092364,1.0,30.0,0.03333333333333333
4,4.0,0.0802339511092364,0.1275960241842305,2.0,30.0,0.06666666666666667
5,5.0,0.1275960241842305,0.1619948813521043,0.0,30.0,0.0
6,6.0,0.1619948813521043,0.2248492694068829,1.0,30.0,0.03333333333333333
7,7.0,0.2248492694068829,0.3100861627968048,1.0,30.0,0.03333333333333333
8,8.0,0.3100861627968048,0.3989212000067005,3.0,30.0,0.1
9,9.0,0.3989212000067005,0.5277577497087717,2.0,30.0,0.06666666666666667
10,10.0,0.5277577497087717,0.6998821773251108,7.0,30.0,0.23333333333333334
11,11.0,0.6998821773251108,0.7991699907197766,4.0,30.0,0.13333333333333333
12,12.0,0.7991699907197766,0.8783210270951031,1.0,30.0,0.03333333333333333
13,13.0,0.8783210270951031,0.9305531034496886,4.0,30.0,0.13333333333333333
14,14.0,0.9305531034496886,0.95284336558993,3.0,30.0,0.1
15,15.0,0.95284336558993,0.964303411287774,3.0,30.0,0.1
16,16.0,0.964303411287774,0.975203242482156,1.0,30.0,0.03333333333333333
17,17.0,0.975203242482156,0.9827161543969076,3.0,30.0,0.1
18,18.0,0.9827161543969076,0.9876624912171236,4.0,30.0,0.13333333333333333
19,19.0,0.9876624912171236,0.990542944272126,1.0,30.0,0.03333333333333333
20,20.0,0.990542944272126,0.9926128198212748,2.0,30.0,0.06666666666666667
21,21.0,0.9926128198212748,0.9941369924308704,0.0,30.0,0.0
22,22.0,0.9941369924308704,0.99525288159486,0.0,30.0,0.0
23,23.0,0.99525288159486,0.996183567338526,3.0,30.0,0.1
24,24.0,0.996183567338526,0.9971881959795064,3.0,30.0,0.1
