,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0193476722592687,2.0,26.0,0.07692307692307693
1,1.0,0.0193476722592687,0.0378621506464029,0.0,30.0,0.0
2,2.0,0.0378621506464029,0.0614963695494454,3.0,30.0,0.1
3,3.0,0.0614963695494454,0.0862702368761099,1.0,30.0,0.03333333333333333
4,4.0,0.0862702368761099,0.1244321098194959,1.0,30.0,0.03333333333333333
5,5.0,0.1244321098194959,0.1615489600133512,0.0,30.0,0.0
6,6.0,0.1615489600133512,0.2189278757893487,0.0,30.0,0.0
7,7.0,0.2189278757893487,0.2860190449405826,1.0,30.0,0.03333333333333333
8,8.0,0.2860190449405826,0.3715274962656114,2.0,30.0,0.06666666666666667
9,9.0,0.3715274962656114,0.4799823977038954,4.0,30.0,0.13333333333333333
10,10.0,0.4799823977038954,0.6041484292651466,2.0,30.0,0.06666666666666667
11,11.0,0.6041484292651466,0.7264651990098804,6.0,30.0,0.2
12,12.0,0.7264651990098804,0.797637589030395,4.0,30.0,0.13333333333333333
13,13.0,0.797637589030395,0.8879137096003946,3.0,30.0,0.1
14,14.0,0.8879137096003946,0.9143170060015204,1.0,30.0,0.03333333333333333
15,15.0,0.9143170060015204,0.9433061513358322,5.0,30.0,0.16666666666666666
16,16.0,0.9433061513358322,0.9618308519560173,1.0,30.0,0.03333333333333333
17,17.0,0.9618308519560173,0.9701804772249012,3.0,30.0,0.1
18,18.0,0.9701804772249012,0.97853550282448,3.0,30.0,0.1
19,19.0,0.97853550282448,0.9846721060160026,2.0,30.0,0.06666666666666667
20,20.0,0.9846721060160026,0.9880013632499908,2.0,30.0,0.06666666666666667
21,21.0,0.9880013632499908,0.9909935585046838,1.0,30.0,0.03333333333333333
22,22.0,0.9909935585046838,0.993179664590612,0.0,30.0,0.0
23,23.0,0.993179664590612,0.9949337191278892,4.0,30.0,0.13333333333333333
24,24.0,0.9949337191278892,0.996854885657346,2.0,30.0,0.06666666666666667
