,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0713306021676755,4.0,80.0,0.05
1,1.0,0.0713306021676755,0.175556298213433,3.0,74.0,0.04054054054054054
2,2.0,0.175556298213433,0.4096293927041829,5.0,74.0,0.06756756756756757
3,3.0,0.4096293927041829,0.697088637838955,8.0,74.0,0.10810810810810811
4,4.0,0.697088637838955,0.8727858744964172,6.0,74.0,0.08108108108108109
5,5.0,0.8727858744964172,0.9515418067206054,7.0,74.0,0.0945945945945946
6,6.0,0.9515418067206054,0.9749543771020704,7.0,74.0,0.0945945945945946
7,7.0,0.9749543771020704,0.9878523171416396,6.0,74.0,0.08108108108108109
8,8.0,0.9878523171416396,0.993516496559404,1.0,74.0,0.013513513513513514
9,9.0,0.993516496559404,0.9971112498376472,6.0,74.0,0.08108108108108109
