,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0296747258088943,4.0,56.0,0.07142857142857142
1,1.0,0.0296747258088943,0.047104576378556,2.0,30.0,0.06666666666666667
2,2.0,0.047104576378556,0.0672485771769019,1.0,30.0,0.03333333333333333
3,3.0,0.0672485771769019,0.0947822275753807,2.0,30.0,0.06666666666666667
4,4.0,0.0947822275753807,0.145294390957427,0.0,30.0,0.0
5,5.0,0.145294390957427,0.2213225326870636,0.0,30.0,0.0
6,6.0,0.2213225326870636,0.3015948063860046,2.0,30.0,0.06666666666666667
7,7.0,0.3015948063860046,0.4147646734216379,2.0,30.0,0.06666666666666667
8,8.0,0.4147646734216379,0.5747203386778877,5.0,30.0,0.16666666666666666
9,9.0,0.5747203386778877,0.6666295440390112,5.0,30.0,0.16666666666666666
10,10.0,0.6666295440390112,0.78890108751751,3.0,30.0,0.1
11,11.0,0.78890108751751,0.848410561957276,2.0,30.0,0.06666666666666667
12,12.0,0.848410561957276,0.9019510975652402,1.0,30.0,0.03333333333333333
13,13.0,0.9019510975652402,0.9216563192504,3.0,30.0,0.1
14,14.0,0.9216563192504,0.9450598437201194,4.0,30.0,0.13333333333333333
15,15.0,0.9450598437201194,0.9595110893596056,3.0,30.0,0.1
16,16.0,0.9595110893596056,0.9722600128801844,3.0,30.0,0.1
17,17.0,0.9722600128801844,0.9791822002607836,1.0,30.0,0.03333333333333333
18,18.0,0.9791822002607836,0.98393272007011,2.0,30.0,0.06666666666666667
19,19.0,0.98393272007011,0.9880972561940488,2.0,30.0,0.06666666666666667
20,20.0,0.9880972561940488,0.9903760660553758,2.0,30.0,0.06666666666666667
21,21.0,0.9903760660553758,0.992696705322744,0.0,30.0,0.0
22,22.0,0.992696705322744,0.9943323297472676,1.0,30.0,0.03333333333333333
23,23.0,0.9943323297472676,0.9957477781361318,3.0,30.0,0.1
