,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0160125843407165,2.0,26.0,0.07692307692307693
1,1.0,0.0160125843407165,0.0351365165415901,2.0,30.0,0.06666666666666667
2,2.0,0.0351365165415901,0.0546712317042706,1.0,30.0,0.03333333333333333
3,3.0,0.0546712317042706,0.0813170456061441,1.0,30.0,0.03333333333333333
4,4.0,0.0813170456061441,0.1147466927489128,1.0,30.0,0.03333333333333333
5,5.0,0.1147466927489128,0.1637547885309639,0.0,30.0,0.0
6,6.0,0.1637547885309639,0.2416289669186695,2.0,30.0,0.06666666666666667
7,7.0,0.2416289669186695,0.348635131026992,2.0,30.0,0.06666666666666667
8,8.0,0.348635131026992,0.473771717725555,4.0,30.0,0.13333333333333333
9,9.0,0.473771717725555,0.6173391231547705,3.0,30.0,0.1
10,10.0,0.6173391231547705,0.728695760302756,6.0,30.0,0.2
11,11.0,0.728695760302756,0.8005053090832666,2.0,30.0,0.06666666666666667
12,12.0,0.8005053090832666,0.8878048463150889,0.0,30.0,0.0
13,13.0,0.8878048463150889,0.9280551684014228,5.0,30.0,0.16666666666666666
14,14.0,0.9280551684014228,0.951541247993944,3.0,30.0,0.1
15,15.0,0.951541247993944,0.96527565203956,3.0,30.0,0.1
16,16.0,0.96527565203956,0.9724509340139458,3.0,30.0,0.1
17,17.0,0.9724509340139458,0.9787581909165456,2.0,30.0,0.06666666666666667
18,18.0,0.9787581909165456,0.9844188514815848,1.0,30.0,0.03333333333333333
19,19.0,0.9844188514815848,0.9879279744969354,2.0,30.0,0.06666666666666667
20,20.0,0.9879279744969354,0.9911237026532708,2.0,30.0,0.06666666666666667
21,21.0,0.9911237026532708,0.993011314270247,0.0,30.0,0.0
22,22.0,0.993011314270247,0.9944119138132028,4.0,30.0,0.13333333333333333
23,23.0,0.9944119138132028,0.9957654452815812,0.0,30.0,0.0
24,24.0,0.9957654452815812,0.9977321867414656,2.0,30.0,0.06666666666666667
