,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0234189644292524,2.0,26.0,0.07692307692307693
1,1.0,0.0234189644292524,0.0446601892016734,2.0,30.0,0.06666666666666667
2,2.0,0.0446601892016734,0.0620336719963904,1.0,30.0,0.03333333333333333
3,3.0,0.0620336719963904,0.0802011650549846,0.0,30.0,0.0
4,4.0,0.0802011650549846,0.12927289868192,2.0,30.0,0.06666666666666667
5,5.0,0.12927289868192,0.191421285203768,0.0,30.0,0.0
6,6.0,0.191421285203768,0.273325336659175,1.0,30.0,0.03333333333333333
7,7.0,0.273325336659175,0.3810233582500918,2.0,30.0,0.06666666666666667
8,8.0,0.3810233582500918,0.5003659557862037,4.0,30.0,0.13333333333333333
9,9.0,0.5003659557862037,0.6536129084179998,6.0,30.0,0.2
10,10.0,0.6536129084179998,0.7538201291065203,4.0,30.0,0.13333333333333333
11,11.0,0.7538201291065203,0.8323950902522299,2.0,30.0,0.06666666666666667
12,12.0,0.8323950902522299,0.9001970142947892,0.0,30.0,0.0
13,13.0,0.9001970142947892,0.929719777013821,3.0,30.0,0.1
14,14.0,0.929719777013821,0.946758213905422,3.0,30.0,0.1
15,15.0,0.946758213905422,0.967190974708385,5.0,30.0,0.16666666666666666
16,16.0,0.967190974708385,0.9772168579927298,3.0,30.0,0.1
17,17.0,0.9772168579927298,0.9835644360853372,3.0,30.0,0.1
18,18.0,0.9835644360853372,0.9878431803546072,1.0,30.0,0.03333333333333333
19,19.0,0.9878431803546072,0.9904411994858144,3.0,30.0,0.1
20,20.0,0.9904411994858144,0.9922015541870384,0.0,30.0,0.0
21,21.0,0.9922015541870384,0.9937738096555412,1.0,30.0,0.03333333333333333
22,22.0,0.9937738096555412,0.9949432181996324,3.0,30.0,0.1
23,23.0,0.9949432181996324,0.996928856859179,0.0,30.0,0.0
24,24.0,0.996928856859179,0.998493997748764,2.0,30.0,0.06666666666666667
