,FPR,TPR,Thresholds
0,0.0,0.0,inf
1,0.0,0.023255813953488372,0.9826385901996912
2,0.0,0.6046511627906976,0.833734024715792
3,0.0136986301369863,0.6046511627906976,0.8293345632832946
4,0.0136986301369863,0.627906976744186,0.8275475856172492
5,0.0273972602739726,0.627906976744186,0.8156832770943059
6,0.0273972602739726,0.7209302325581395,0.7368611543712938
7,0.0547945205479452,0.7209302325581395,0.7220050351182007
8,0.0547945205479452,0.7441860465116279,0.7072300102197582
9,0.0684931506849315,0.7441860465116279,0.697729149296918
10,0.0684931506849315,0.7906976744186046,0.6129831675323809
11,0.0958904109589041,0.7906976744186046,0.5737236184531513
12,0.0958904109589041,0.8604651162790697,0.4986323528583287
13,0.1095890410958904,0.8604651162790697,0.46996728242274044
14,0.1095890410958904,0.8837209302325582,0.4163497519269959
15,0.1506849315068493,0.8837209302325582,0.28010684491364324
16,0.1506849315068493,0.9069767441860465,0.2617450650223798
17,0.1917808219178082,0.9069767441860465,0.20004567416768304
18,0.1917808219178082,0.9302325581395349,0.1861226998521896
19,0.2602739726027397,0.9302325581395349,0.14817073265344494
20,0.2602739726027397,0.9534883720930233,0.14573133448038383
21,0.4794520547945205,0.9534883720930233,0.0355961803583894
22,0.4794520547945205,0.9767441860465116,0.030514721921249745
23,0.7945205479452054,0.9767441860465116,0.008384981938093027
24,0.7945205479452054,1.0,0.008283607936278246
25,1.0,1.0,0.003270958872207045
