,y_pred,y_proba_0,y_proba_1
3,0.0,0.8623153171838288,0.13768468281617113
8,0.0,0.9939596293314177,0.00604037066858242
9,0.0,0.8791703631470481,0.12082963685295185
12,0.0,0.6039210368494936,0.3960789631505063
13,0.0,0.9952542110560328,0.0047457889439672975
16,0.0,0.993249036117317,0.006750963882683161
19,0.0,0.9926611718401835,0.007338828159816508
21,1.0,0.2990294622260937,0.7009705377739062
22,0.0,0.7839049138070532,0.2160950861929468
23,0.0,0.8644642352359038,0.13553576476409626
41,1.0,0.22908251351240283,0.7709174864875972
42,0.0,0.9099507067942204,0.09004929320577972
44,1.0,0.056846738441365896,0.9431532615586338
47,1.0,0.10138395189221625,0.8986160481077838
48,0.0,0.8603514568463853,0.1396485431536149
57,0.0,0.8172911407940721,0.18270885920592797
58,1.0,0.12793656905478729,0.8720634309452127
64,0.0,0.8484665015491762,0.15153349845082387
65,0.0,0.552296091988143,0.447703908011857
68,0.0,0.9723409175737702,0.027659082426229838
69,1.0,0.46336647398517067,0.5366335260148293
72,0.0,0.9763057184397332,0.02369428156026684
79,0.0,0.6589213956266758,0.34107860437332427
81,0.0,0.985083239889881,0.014916760110118976
82,1.0,0.0754701760036138,0.9245298239963858
88,0.0,0.7736531775938321,0.2263468224061679
96,1.0,0.275750027378937,0.724249972621063
100,1.0,0.2074773989029827,0.7925226010970173
102,1.0,0.0972653691053886,0.9027346308946113
120,1.0,0.11652094644878516,0.8834790535512147
121,1.0,0.05759425392409275,0.9424057460759073
128,1.0,0.1901636768479713,0.8098363231520287
133,0.0,0.9346773006226006,0.0653226993773994
138,0.0,0.9981422651654057,0.0018577348345941874
151,1.0,0.05885579512056288,0.9411442048794371
154,0.0,0.996125754141967,0.003874245858032991
157,0.0,0.6421461656163294,0.3578538343836707
158,1.0,0.08462433776734035,0.9153756622326595
161,1.0,0.24207823742443613,0.7579217625755639
165,1.0,0.09591424048582321,0.9040857595141769
167,0.0,0.8018822339439954,0.1981177660560047
168,1.0,0.06681172876793229,0.9331882712320676
179,0.0,0.7783722571157647,0.2216277428842354
185,0.0,0.5183984712999089,0.48160152870009104
187,1.0,0.13620690540470454,0.8637930945952956
189,0.0,0.9954365298069812,0.004563470193018965
196,0.0,0.7137892465632484,0.2862107534367514
200,1.0,0.44234752988374126,0.5576524701162587
201,0.0,0.5240394300039726,0.4759605699960274
210,1.0,0.3683524724692143,0.6316475275307857
214,0.0,0.9964851061929417,0.003514893807058396
217,0.0,0.961945180456377,0.038054819543623095
220,0.0,0.7345489535469621,0.26545104645303796
222,0.0,0.9794766450242521,0.020523354975748014
229,0.0,0.9686210914350912,0.03137890856490873
234,0.0,0.9669626017134764,0.033037398286523925
235,1.0,0.11941612135311148,0.8805838786468885
238,1.0,0.17728031278881295,0.8227196872111872
239,1.0,0.13594937730386214,0.8640506226961377
245,0.0,0.7638142789157579,0.23618572108424205
247,0.0,0.9956009189248721,0.004399081075127915
248,0.0,0.7415378479928053,0.25846215200719463
259,0.0,0.9907012432995204,0.009298756700479615
273,0.0,0.9239892048348212,0.07601079516517877
274,0.0,0.8909586854389877,0.1090413145610124
279,0.0,0.9739816103060972,0.026018389693902667
280,0.0,0.9841038517662215,0.015896148233778294
284,1.0,0.20199877577066155,0.7980012242293383
296,1.0,0.3421052633114928,0.6578947366885071
300,0.0,0.9406692914983422,0.05933070850165808
304,0.0,0.960540832551937,0.039459167448062944
310,1.0,0.49673028625520893,0.503269713744791
313,0.0,0.5810156052324018,0.4189843947675981
314,0.0,0.9345043722002175,0.06549562779978244
316,1.0,0.06347358087521696,0.936526419124783
324,0.0,0.9924794165523914,0.007520583447608746
329,0.0,0.9733515752692428,0.02664842473075727
332,0.0,0.6468833432457277,0.3531166567542722
335,0.0,0.9942268726968841,0.005773127303115815
348,1.0,0.05055860257954899,0.9494413974204509
351,0.0,0.7656662772960395,0.23433372270396036
353,0.0,0.8819610405991586,0.11803895940084144
359,0.0,0.9991908377807468,0.000809162219253193
362,0.0,0.9926707032912162,0.007329296708783868
374,1.0,0.05503306450523806,0.944966935494762
377,0.0,0.812592759143652,0.1874072408563479
381,1.0,0.28865083181666706,0.7113491681833329
387,1.0,0.23039308309189171,0.7696069169081083
391,1.0,0.18617105980667642,0.8138289401933235
392,1.0,0.09803211448609468,0.9019678855139054
393,0.0,0.7695209329304483,0.23047906706955143
397,1.0,0.16412286479669627,0.8358771352033039
400,0.0,0.948272957913057,0.051727042086942975
401,0.0,0.9787802552316055,0.0212197447683943
403,0.0,0.968853146563187,0.031146853436812987
409,1.0,0.3595364023645515,0.6404635976354487
413,0.0,0.9822481786309254,0.01775182136907443
415,0.0,0.8545082764891114,0.14549172351088854
418,1.0,0.23310780835557524,0.7668921916444249
420,1.0,0.4036337644306622,0.5963662355693378
425,1.0,0.11794151850709891,0.8820584814929011
435,1.0,0.03567016233230645,0.9643298376676939
444,0.0,0.7063296510896138,0.2936703489103864
448,1.0,0.04275472389349926,0.9572452761065007
449,0.0,0.9378435522637295,0.06215644773627027
456,1.0,0.28900615190530515,0.7109938480946949
458,0.0,0.9025846828884079,0.09741531711159208
460,0.0,0.7193867329316908,0.28061326706830936
461,0.0,0.9964827336843767,0.0035172663156232175
462,1.0,0.20095275391995723,0.7990472460800429
463,0.0,0.7922289547628518,0.20777104523714826
466,1.0,0.40328619008917005,0.5967138099108299
469,1.0,0.30537841929736065,0.6946215807026395
470,0.0,0.981051709059219,0.018948290940781105
472,0.0,0.9613115679804889,0.03868843201951121
474,0.0,0.7383087958487,0.26169120415129976
475,1.0,0.2986161802975059,0.701383819702494
476,1.0,0.23991451557640597,0.7600854844235941
488,1.0,0.05037708096434681,0.9496229190356533
491,1.0,0.43567100415379423,0.5643289958462058
494,0.0,0.9987568240516849,0.0012431759483151317
497,0.0,0.8710901192872841,0.12890988071271597
500,0.0,0.7208376480956774,0.27916235190432254
501,0.0,0.991721009376846,0.008278990623153716
506,1.0,0.08904639973682206,0.9109536002631777
511,0.0,0.7998400933680616,0.20015990663193844
514,1.0,0.46518579141971833,0.5348142085802816
521,0.0,0.9986833455245627,0.0013166544754375173
523,0.0,0.5958983069157837,0.40410169308421623
530,0.0,0.9869255646299239,0.013074435370076076
534,0.0,0.9546403456640183,0.04535965433598173
537,0.0,0.7936684093306174,0.20633159066938273
538,0.0,0.9906711029744949,0.009328897025504872
541,1.0,0.22994622826568092,0.770053771734319
543,1.0,0.009501441767581786,0.9904985582324182
549,0.0,0.9980402133629516,0.001959786637048264
550,0.0,0.9813277828564209,0.018672217143579004
554,1.0,0.19400609990581213,0.8059939000941878
555,1.0,0.3927395586539929,0.6072604413460072
556,0.0,0.8926015651484681,0.10739843485153196
557,1.0,0.3470867739190619,0.6529132260809382
563,1.0,0.05259796505949147,0.9474020349405086
566,0.0,0.9835522659506625,0.016447734049337494
567,0.0,0.8295828218080409,0.17041717819195898
573,0.0,0.9810070033246057,0.01899299667539434
576,1.0,0.33299010479111485,0.6670098952088851
580,0.0,0.9895916545207616,0.010408345479238426
582,1.0,0.09089347368683356,0.9091065263131665
584,0.0,0.8150860497076449,0.18491395029235536
585,0.0,0.9947821316208026,0.005217868379197366
586,1.0,0.24469260500786053,0.7553073949921394
587,1.0,0.06685342618912567,0.9331465738108744
590,0.0,0.9976024790793117,0.002397520920688384
591,0.0,0.9868260947772038,0.0131739052227963
592,0.0,0.9442191402343058,0.05578085976569419
594,0.0,0.5075200733179114,0.4924799266820886
596,0.0,0.9529157731252764,0.04708422687472365
602,0.0,0.9975103887607955,0.0024896112392046588
603,1.0,0.06371170026903814,0.9362882997309618
604,1.0,0.09379817664733707,0.906201823352663
613,1.0,0.17988358375353083,0.8201164162464691
616,0.0,0.5896759437258436,0.4103240562741563
626,0.0,0.9988627881170103,0.0011372118829896948
627,0.0,0.8933009490081718,0.106699050991828
628,1.0,0.2857561355993291,0.7142438644006708
631,0.0,0.996868729298874,0.0031312707011260134
633,0.0,0.802921552493588,0.19707844750641212
636,1.0,0.042507192106381604,0.9574928078936183
638,0.0,0.9950864703830561,0.004913529616943737
639,1.0,0.2677569253156096,0.7322430746843903
640,0.0,0.7759185031519535,0.22408149684804637
641,1.0,0.09145237505897205,0.9085476249410279
644,0.0,0.8791675470913176,0.12083245290868243
645,0.0,0.9659787762677604,0.03402122373223968
647,1.0,0.14317567699999525,0.8568243230000048
649,0.0,0.6484235101313669,0.3515764898686331
651,1.0,0.21638577761926214,0.7836142223807376
653,1.0,0.1981726951569961,0.8018273048430041
654,0.0,0.8350548310606009,0.16494516893939914
656,0.0,0.6277334911920308,0.37226650880796924
659,1.0,0.457186200520904,0.5428137994790961
670,0.0,0.9596279716969314,0.040372028303068665
671,0.0,0.6684172597778677,0.33158274022213247
673,0.0,0.9941408223627469,0.005859177637253238
678,0.0,0.9940413129958747,0.0059586870041251965
681,0.0,0.6471800916072584,0.3528199083927415
687,1.0,0.23337034275263502,0.7666296572473652
692,0.0,0.9520109052174279,0.047989094782572114
693,1.0,0.12504331311657496,0.8749566868834251
697,0.0,0.9821256848624952,0.017874315137504714
698,0.0,0.9713081589210335,0.028691841078966784
703,0.0,0.9847214902236521,0.015278509776347945
705,1.0,0.06738176173323773,0.9326182382667623
706,0.0,0.6567702904801102,0.34322970951988985
713,0.0,0.7207703190538368,0.27922968094616335
716,1.0,0.078039322723828,0.9219606772761718
719,0.0,0.9060016501880549,0.09399834981194527
724,0.0,0.9816945929257976,0.0183054070742026
725,0.0,0.9779504063887048,0.022049593611295496
728,0.0,0.9893389624308535,0.010661037569146421
729,1.0,0.02371168219569176,0.9762883178043082
731,0.0,0.9990328136445319,0.0009671863554681942
732,1.0,0.03383327862645403,0.9661667213735461
733,0.0,0.9162022592984866,0.0837977407015134
735,0.0,0.7644499123534156,0.2355500876465843
736,0.0,0.9887585919353942,0.011241408064605926
752,1.0,0.10704422912148073,0.8929557708785193
757,0.0,0.9846141002113971,0.015385899788603108
763,0.0,0.7725072769848907,0.22749272301510928
764,0.0,0.9941738673504151,0.0058261326495849496
767,0.0,0.9866282773374374,0.01337172266256248
770,0.0,0.829579045403392,0.17042095459660808
773,0.0,0.9460849661476578,0.05391503385234218
777,0.0,0.5292523266867822,0.4707476733132179
780,1.0,0.43366081238539184,0.5663391876146082
785,1.0,0.07058097557828968,0.9294190244217104
790,1.0,0.036441797512247784,0.963558202487752
791,1.0,0.0867409784176347,0.9132590215823655
800,0.0,0.8890245433951781,0.11097545660482175
809,0.0,0.9083771323414067,0.09162286765859312
810,0.0,0.9468412487829821,0.05315875121701805
812,0.0,0.940747261029675,0.05925273897032476
814,1.0,0.06915401486949198,0.9308459851305079
815,0.0,0.9741313881878501,0.025868611812149733
